Datalogger Make,Datalogger Model,Serial Number,Deployment Place,Installation Date,Removal Date
CSI,CUSP-Me BOX,Me-12073,Wellington Thorndon Flyover Building Array TDFB Cusp-Me,2011-06-27T12:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12074,Wellington Thorndon Flyover Building Array TDFB Cusp-Me,2011-06-27T12:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12075,Wellington Thorndon Flyover Building Array TDFB Cusp-Me,2011-06-27T12:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12076,Christchurch Polytechnic Institute of Technology Cusp-Me,2012-05-13T12:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12077,Wellington Thorndon Flyover Building Array TDFB Cusp-Me,2011-06-27T12:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12078,Christchurch Polytechnic Institute of Technology Cusp-Me,2012-05-13T12:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12079,"WestQuay Apartment Building Array, Ahuriri, Napier Cusp-Me",2012-05-13T12:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12080,"WestQuay Apartment Building Array, Ahuriri, Napier Cusp-Me",2012-05-13T12:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12081,Christchurch Polytechnic Institute of Technology Cusp-Me,2012-05-13T12:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12082,Wellington Stout Street Building Array (MBIE) Cusp-Me,2014-06-30T12:00:02Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12083,Christchurch Polytechnic Institute of Technology Cusp-Me,2012-05-13T12:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12084,Hawkes Bay Regional Council Building Array HBRB Cusp-Me,2011-03-20T11:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12085,Hawkes Bay Regional Council Building Array HBRB Cusp-Me,2011-03-20T11:00:01Z,9999-01-01T00:00:00Z
