Manufacturer,Make,Model,Serial Number,Notes
Canterbury Seismic Instruments Ltd.,CSI,CUSPM BOX,11062,
Canterbury Seismic Instruments Ltd.,CSI,CUSPM BOX,11063,
Canterbury Seismic Instruments Ltd.,CSI,CUSPM BOX,11064,
Canterbury Seismic Instruments Ltd.,CSI,CUSPM BOX,11066,
Canterbury Seismic Instruments Ltd.,CSI,CUSPM BOX,11067,
Canterbury Seismic Instruments Ltd.,CSI,CUSPM BOX,11068,
Canterbury Seismic Instruments Ltd.,CSI,CUSPM BOX,11069,
Canterbury Seismic Instruments Ltd.,CSI,CUSPM BOX,13032,
Canterbury Seismic Instruments Ltd.,CSI,CUSPM BOX,13041,
Canterbury Seismic Instruments Ltd.,CSI,CUSPM BOX,3C3-10449,
Canterbury Seismic Instruments Ltd.,CSI,CUSPM BOX,3C3-10450,
Canterbury Seismic Instruments Ltd.,CSI,CUSPM16,CSI #1 16 Port,
Canterbury Seismic Instruments Ltd.,CSI,CUSPM16,CSI #2 16 Port,
Canterbury Seismic Instruments Ltd.,CSI,CUSPM16,CSI #3 16 Port,
Canterbury Seismic Instruments Ltd.,CSI,CUSPM16,PROTOTYPE-1,
Canterbury Seismic Instruments Ltd.,CSI,CUSPM16,PROTOTYPE-2,
Canterbury Seismic Instruments Ltd.,CSI,CUSPM16,PROTOTYPE-2,
