Datalogger Make,Datalogger Model,Serial Number,Deployment Place,Deployment Role,Installation Date,Removal Date
Nanometrics,Taurus,1667,MRP Rotokawa 18,Portable,2013-03-14T23:00:01Z,9999-01-01T00:00:00Z
Nanometrics,Taurus,1675,MRP Rotokawa 10,Portable,2008-10-30T00:00:01Z,2011-05-10T00:00:00Z
Nanometrics,Taurus,1675,MRP Rotokawa 12,Portable,2011-05-29T00:00:01Z,2013-02-14T00:00:00Z
Nanometrics,Taurus,1675,MRP Rotokawa 14,Portable,2013-02-14T00:00:01Z,9999-01-01T00:00:00Z
Nanometrics,Taurus,1687,MRP Rotokawa 06,Portable,2008-10-10T00:00:02Z,2009-08-14T00:00:00Z
Nanometrics,Taurus,1687,MRP Rotokawa 08,Portable,2012-03-08T00:00:01Z,2012-10-29T00:00:10Z
Nanometrics,Taurus,1687,MRP Rotokawa 15,Portable,2012-10-29T00:00:21Z,2013-03-14T23:00:00Z
Nanometrics,Taurus,1687,MRP Rotokawa 19,Portable,2013-03-14T23:00:01Z,9999-01-01T00:00:00Z
Nanometrics,Taurus,1688,MRP Rotokawa 07,Portable,2008-10-10T00:00:01Z,2013-03-14T23:00:00Z
Nanometrics,Taurus,1688,MRP Rotokawa 20,Portable,2013-03-14T23:00:01Z,2013-08-28T00:00:00Z
Nanometrics,Taurus,1688,MRP Rotokawa 21,Portable,2013-08-28T00:00:01Z,9999-01-01T00:00:00Z
Nanometrics,Taurus,1690,MRP Rotokawa 11,Portable,2009-03-13T00:00:01Z,2015-06-24T00:00:00Z
Nanometrics,Taurus,1690,MRP Rotokawa 22,Portable,2015-06-24T00:00:01Z,9999-01-01T00:00:00Z
Nanometrics,Taurus,1692,MRP Rotokawa 02,Portable,2008-10-10T00:00:01Z,2012-10-29T00:00:10Z
Nanometrics,Taurus,1692,MRP Rotokawa 13,Portable,2012-10-29T00:00:21Z,2015-03-26T02:02:51Z
Nanometrics,Taurus,1692,MRP Rotokawa 05,Portable,2015-03-26T02:02:52Z,9999-01-01T00:00:00Z
Nanometrics,Taurus,1693,MRP Rotokawa 01,Portable,2008-10-10T00:00:01Z,9999-01-01T00:00:00Z
Nanometrics,Taurus,1694,MRP Rotokawa 08,Portable,2008-10-10T00:00:02Z,2012-10-29T00:00:10Z
Nanometrics,Taurus,1694,MRP Rotokawa 17,Portable,2012-10-29T00:00:21Z,9999-01-01T00:00:00Z
Nanometrics,Taurus,002848,MRP Kawerau Taurus KQD,Portable,2012-04-04T00:10:02Z,2014-03-14T00:01:00Z
