Sensor Make,Sensor Model,Serial Number,Mark Code,Installation Date,Removal Date
Trimble,Zephyr - Stealth Ground Plane,12668782,CKID,2006-05-22T13:59:00Z,2010-07-14T12:00:00Z
Trimble,Zephyr - Stealth Ground Plane,12668806,AKTO,2006-04-26T12:01:00Z,2015-10-01T07:10:01Z
Trimble,Zephyr - Stealth Ground Plane,12668809,RGHL,2008-12-02T12:00:00Z,2011-11-21T10:00:00Z
Trimble,Zephyr - Stealth Ground Plane,12668861,RGMT,2007-10-29T12:00:00Z,2011-05-12T14:00:00Z
Trimble,Zephyr - Stealth Ground Plane,12668863,WGTN,2005-03-20T13:00:00Z,2010-11-14T09:26:01Z
Trimble,Zephyr - Stealth Ground Plane,12668869,HOLD,2007-02-21T13:00:00Z,9999-01-01T02:39:40Z
Trimble,Zephyr - Stealth Ground Plane,12668872,RGCR,2007-02-12T11:00:00Z,2011-08-29T11:42:00Z
Trimble,Zephyr - Stealth Ground Plane,12668872,RGHD,2012-01-31T14:01:01Z,9999-01-01T03:49:42Z
Trimble,Zephyr - Stealth Ground Plane,12668882,KERE,2006-05-16T12:00:30Z,9998-12-31T22:53:59Z
Trimble,Zephyr - Stealth Ground Plane,12668883,MAHI,2007-08-02T12:00:00Z,9999-01-01T02:36:13Z
Trimble,Zephyr - Stealth Ground Plane,12668904,AUCK,2005-11-02T14:00:00Z,2011-02-28T10:00:00Z
Trimble,Zephyr - Stealth Ground Plane,12668924,PALI,2007-03-21T07:00:00Z,9999-01-01T03:28:22Z
Trimble,Zephyr - Stealth Ground Plane,12668934,TEMA,2007-02-22T08:00:00Z,9999-01-01T02:16:19Z
Trimble,Zephyr - Stealth Ground Plane,12668935,RGHR,2007-02-07T08:30:00Z,9999-01-01T03:03:41Z
Trimble,Zephyr - Stealth Ground Plane,12668939,PTOI,2006-03-06T11:00:30Z,9999-01-01T03:42:03Z
Trimble,Zephyr - Stealth Ground Plane,12668952,PNUI,2006-06-28T14:30:00Z,9999-01-01T01:31:13Z
Trimble,Zephyr - Stealth Ground Plane,12668959,BNET,2005-02-14T10:59:58Z,9998-12-31T23:00:00Z
Trimble,Zephyr - Stealth Ground Plane,12668960,PARI,2007-08-01T12:01:00Z,9998-12-31T20:07:03Z
Trimble,Zephyr - Stealth Ground Plane,12668968,LEYL,2007-03-26T17:50:00Z,2011-09-05T09:45:01Z
Trimble,Zephyr - Stealth Ground Plane,12668980,UTKU,2008-11-11T14:00:02Z,9998-12-31T22:56:23Z
Trimble,Zephyr - Stealth Ground Plane,12682226,RGKA,2006-05-01T14:00:00Z,9999-01-01T03:21:05Z
Trimble,Zephyr - Stealth Ground Plane,12682299,TGWH,2007-02-06T09:10:00Z,9998-12-31T23:34:53Z
Trimble,Zephyr - Stealth Ground Plane,12682307,CLIM,2005-10-17T11:59:59Z,2015-08-20T10:57:38Z
Trimble,Zephyr - Stealth Ground Plane,12682354,RGRE,2007-02-07T11:15:00Z,2013-12-16T10:58:00Z
Trimble,Zephyr - Stealth Ground Plane,12696858,UTK2,2008-07-17T12:00:10Z,9999-01-01T02:33:40Z
Trimble,Zephyr - Stealth Ground Plane,12697025,TEST,2006-12-20T22:00:00Z,2015-03-31T11:00:00Z
Trimble,Zephyr - Stealth Ground Plane,12697180,FALE,2010-10-21T13:31:00Z,9999-01-01T00:52:17Z
Trimble,Zephyr - Stealth Ground Plane,60101143,VAVS,2009-05-31T12:01:00Z,2009-05-31T12:01:01Z
Trimble,Zephyr - Stealth Ground Plane,60101143,VAVS,2009-05-31T12:01:02Z,9998-12-31T20:14:26Z
Trimble,Zephyr - Stealth Ground Plane,60115144,OUSD,2006-06-20T11:59:59Z,2011-07-25T11:29:59Z
Trimble,Zephyr - Stealth Ground Plane,60187101,THAP,2008-06-12T12:01:00Z,9999-01-01T00:35:54Z
Trimble,Zephyr - Stealth Ground Plane,60187538,UTK3,2008-07-17T12:00:10Z,9999-01-01T02:34:41Z
Trimble,Zephyr 2a (55971-00),30203608,KTIA,2007-10-23T12:00:00Z,9999-01-01T01:13:58Z
Trimble,Zephyr 2a (55971-00),30203658,KORO,2007-06-14T11:50:00Z,9998-12-31T21:57:17Z
Trimble,Zephyr 2a (55971-00),30203663,NMAI,2008-02-12T14:01:00Z,9998-12-31T22:10:21Z
Trimble,Zephyr 2a (55971-00),30203671,MCNL,2008-05-26T12:03:00Z,9999-01-01T03:13:53Z
Trimble,Zephyr 2a (55971-00),30212695,OTAK,2007-10-04T11:00:00Z,9998-12-31T21:20:45Z
Trimble,Zephyr 2a (55971-00),30212868,MATW,2008-07-27T12:00:30Z,9999-01-01T00:18:20Z
Trimble,Zephyr 2a (55971-00),30213984,MANG,2007-06-19T15:20:00Z,9998-12-31T21:43:03Z
Trimble,Zephyr 2a (55971-00),30260173,VEXA,2009-03-12T15:05:00Z,9998-12-31T19:07:07Z
Trimble,Zephyr 2a (55971-00),30260375,PILK,2009-03-11T12:05:00Z,9998-12-31T19:05:31Z
Trimble,Zephyr 2a (55971-00),30260401,NRRD,2008-02-07T14:30:10Z,9999-01-01T02:03:53Z
Trimble,Zephyr 2a (55971-00),30260402,CHTI,2007-12-10T09:00:00Z,9999-01-01T01:09:11Z
Trimble,Zephyr 2a (55971-00),30260412,BHST,2008-06-11T12:00:01Z,9998-12-31T22:38:02Z
Trimble,Zephyr 2a (55971-00),30260436,RAHI,2008-05-13T18:05:00Z,2011-07-17T16:00:00Z
Trimble,Zephyr 2a (55971-00),30260439,MTBL,2008-03-10T17:00:00Z,9999-01-01T01:25:39Z
Trimble,Zephyr 2a (55971-00),30260482,GNBK,2008-03-11T16:00:00Z,9999-01-01T01:29:09Z
Trimble,Zephyr 2a (55971-00),30278445,GEON,2007-05-01T12:00:00Z,2015-03-31T11:00:00Z
Trimble,Zephyr 2a (55971-00),30278445,TEST,2015-03-31T11:00:01Z,9998-12-31T23:09:54Z
Trimble,Zephyr 2a (55971-00),30318077,OUSD,2011-07-25T11:30:00Z,9999-01-01T00:58:22Z
Trimble,Zephyr 2a (55971-00),30473361,MING,2010-04-27T12:00:10Z,2014-12-02T10:00:01Z
Trimble,Zephyr 2a (55971-00),30473364,ARTA,2008-11-04T10:00:00Z,9999-01-01T00:00:32Z
Trimble,Zephyr 2a (55971-00),30473372,RGKW,2008-11-27T09:00:00Z,9998-12-31T22:32:43Z
Trimble,Zephyr 2a (55971-00),30473521,MAHO,2011-01-10T13:45:39Z,2011-05-16T13:45:00Z
Trimble,Zephyr 2a (55971-00),30473528,MTQN,2010-02-08T11:00:10Z,9998-12-31T23:20:15Z
Trimble,Zephyr 2a (55971-00),30473549,OHIN,2008-09-02T13:15:00Z,9999-01-01T00:44:57Z
Trimble,Zephyr 2a (55971-00),30473556,WHKT,2009-03-22T11:25:00Z,9999-01-01T00:49:08Z
Trimble,Zephyr 2a (55971-00),30473585,TGHO,2008-12-21T13:00:00Z,9999-01-01T02:30:21Z
Trimble,Zephyr 2a (55971-00),30473588,VGMT,2011-01-16T14:37:00Z,9999-01-01T04:19:39Z
Trimble,Zephyr 2a (55971-00),30473655,RDLV,2009-01-11T11:05:00Z,9998-12-31T19:13:56Z
Trimble,Zephyr 2a (55971-00),30473674,GRNG,2007-06-13T13:50:00Z,9998-12-31T22:03:43Z
Trimble,Zephyr 2a (55971-00),30477040,RGON,2009-08-24T12:01:00Z,9999-01-01T02:55:39Z
Trimble,Zephyr 2a (55971-00),30477057,NETT,2008-03-17T16:00:10Z,9999-01-01T01:34:29Z
Trimble,Zephyr 2a (55971-00),30477064,RGWV,2009-09-03T14:00:00Z,9999-01-01T05:14:15Z
Trimble,Zephyr 2a (55971-00),30477068,BTHL,2009-01-10T11:05:00Z,9999-01-01T02:26:12Z
Trimble,Zephyr 2a (55971-00),30477110,LEVN,2008-06-29T14:30:00Z,9999-01-01T03:08:03Z
Trimble,Zephyr 2a (55971-00),30477149,WARK,2009-01-23T00:15:00Z,9998-12-31T23:25:57Z
Trimble,Zephyr 2a (55971-00),30477150,RGAW,2009-03-23T12:00:00Z,9999-01-01T01:05:06Z
Trimble,Zephyr 2a (55971-00),30477195,PAKI,2010-06-21T12:00:00Z,9998-12-31T22:08:59Z
Trimble,Zephyr 2a (55971-00),30889000,MTPR,2010-01-26T14:05:00Z,9998-12-31T22:02:34Z
Trimble,Zephyr 2a (55971-00),30895413,OPTK,2009-08-19T16:01:01Z,9998-12-31T19:49:53Z
Trimble,Zephyr 2a (55971-00),30895469,WMAT,2010-03-14T15:05:00Z,9998-12-31T18:15:58Z
Trimble,Zephyr 2a (55971-00),30895480,WITH,2009-11-09T11:00:05Z,9999-01-01T06:08:24Z
Trimble,Zephyr 2a (55971-00),30895557,TAUW,2009-08-18T16:45:02Z,9998-12-31T19:55:38Z
Trimble,Zephyr 2a (55971-00),30895581,SNST,2009-06-07T14:30:00Z,9998-12-31T23:12:16Z
Trimble,Zephyr 2a (55971-00),30895600,MAHA,2009-11-15T20:05:00Z,9998-12-31T19:32:30Z
Trimble,Zephyr 2a (55971-00),30895601,AUKT,2009-09-21T09:00:00Z,9998-12-31T22:54:28Z
Trimble,Zephyr 2a (55971-00),30895603,KUTA,2010-04-06T12:01:00Z,9999-01-01T05:43:20Z
Trimble,Zephyr 2a (55971-00),30895612,GUNR,2010-01-26T18:35:00Z,9998-12-31T22:01:39Z
Trimble,Zephyr 2a (55971-00),30895617,WAHU,2009-06-07T10:00:05Z,9998-12-31T23:32:14Z
Trimble,Zephyr 2a (55971-00),30895620,TKAR,2010-06-02T17:05:00Z,9999-01-01T05:48:58Z
Trimble,Zephyr 2a (55971-00),30895621,RAWI,2009-06-09T15:30:05Z,9998-12-31T22:58:29Z
Trimble,Zephyr 2a (55971-00),30895622,OKOH,2009-11-15T11:05:00Z,9998-12-31T19:30:55Z
Trimble,Zephyr 2a (55971-00),30895627,AHTI,2009-06-10T11:30:05Z,9998-12-31T22:44:08Z
Trimble,Zephyr 2a (55971-00),30895629,PRTU,2009-08-17T16:25:01Z,9998-12-31T19:44:18Z
Trimble,Zephyr 2a (55971-00),30895634,RAUL,2009-05-14T12:00:00Z,9999-01-01T01:30:44Z
Trimble,Zephyr 2a (55971-00),30895700,KAWK,2010-06-01T15:05:00Z,9999-01-01T03:52:56Z
Trimble,Zephyr 2a (55971-00),30895723,V47B,2011-04-08T10:24:00Z,9998-12-31T22:45:25Z
Trimble,Zephyr 2a (55971-00),30895778,CKID,2010-07-14T12:00:01Z,9998-12-31T21:38:20Z
Trimble,Zephyr 2a (55971-00),1212118318,VGT8,2013-06-09T15:05:00Z,9998-12-31T22:21:56Z
Trimble,Zephyr 2a (55971-00),1212118550,PGNE,2014-09-28T14:30:00Z,9999-01-01T09:27:59Z
Trimble,Zephyr 2a (55971-00),1212118682,VGET,2014-03-10T11:00:02Z,9998-12-31T20:46:31Z
Trimble,Zephyr 2a (55971-00),1212118965,VGNG,2014-02-25T08:52:00Z,9999-01-01T03:06:44Z
Trimble,Zephyr 2a (55971-00),1312118142,PGKH,2014-10-13T15:00:00Z,9999-01-01T09:42:39Z
