Make,Model,Serial,Mark,Height,North,East,Azimuth,Start Date,End Date
Trimble Navigation Ltd.,TRM41249.00,12235000,VGWT,0.055,0,0,0,2005-03-01T00:00:00Z,2005-03-08T00:00:00Z
Trimble Navigation Ltd.,TRM41249.00,12337737,HORN,0.055,0,0,0,2002-11-20T00:00:00Z,2019-09-18T01:42:58Z
Trimble Navigation Ltd.,TRM41249.00,12379120,VGTS,0.055,0,0,0,2005-03-17T00:00:00Z,2018-01-24T01:50:59Z
Trimble Navigation Ltd.,TRM41249.00,12379189,NIUM,0.002,0,0,0,2005-09-15T00:00:00Z,2014-03-13T01:30:00Z
Trimble Navigation Ltd.,TRM41249.00,12379191,MQZG,0.055,0,0,0,2005-02-28T04:00:00Z,2011-02-09T23:21:00Z
Trimble Navigation Ltd.,TRM41249.00,12379323,RGAR,0.002,0,0,0,2007-11-07T02:08:30Z,2016-09-21T02:25:06Z
Trimble Navigation Ltd.,TRM41249.00,12379437,VGMO,0.055,0,0,0,2005-03-31T00:00:00Z,2018-01-28T23:26:29Z
Trimble Navigation Ltd.,TRM41249.00,12421105,TORY,0.055,0,0,0,2005-04-20T05:00:00Z,2011-11-16T21:16:30Z
Trimble Navigation Ltd.,TRM41249.00,12421106,DURV,0.055,0,0,0,2005-03-09T22:00:00Z,2018-02-22T23:09:01Z
Trimble Navigation Ltd.,TRM41249.00,12421111,VGMT,0.055,0,0,0,2005-02-01T00:00:00Z,2011-01-17T01:26:00Z
Trimble Navigation Ltd.,TRM41249.00,12421112,KOKO,0.055,0,0,0,2004-11-03T00:00:00Z,2015-12-08T04:23:58Z
Trimble Navigation Ltd.,TRM41249.00,12421121,VGWH,0.055,0,0,0,2005-02-25T00:00:00Z,2018-05-04T01:35:01Z
Trimble Navigation Ltd.,TRM41249.00,12421176,PAWA,0.055,0,0,0,2005-03-23T00:00:00Z,2016-03-01T02:36:50Z
Trimble Navigation Ltd.,TRM41249.00,12421180,WEST,0.055,0,0,0,2004-09-23T05:00:00Z,2011-01-26T01:55:00Z
Trimble Navigation Ltd.,TRM41249.00,12421183,RGMK,0.055,0,0,0,2004-10-06T02:00:00Z,2019-03-18T01:23:59Z
Trimble Navigation Ltd.,TRM41249.00,12421184,SCTB,0.055,0,0,0,2004-10-29T00:00:00Z,2010-10-25T23:00:00Z
Trimble Navigation Ltd.,TRM41249.00,12421227,MANG,0.055,0,0,0,2005-02-11T00:55:13Z,2007-06-20T03:16:00Z
Trimble Navigation Ltd.,TRM41249.00,12466213,RGLI,0.055,0,0,0,2005-11-15T20:00:00Z,2013-05-08T00:00:01Z
Trimble Navigation Ltd.,TRM41249.00,12466228,PAEK,0.055,0,0,0,2006-09-11T03:00:01Z,2015-09-14T01:30:00Z
Trimble Navigation Ltd.,TRM41249.00,12466307,CNST,0.002,0,0,0,2007-08-21T01:00:00Z,2016-01-14T21:36:27Z
Trimble Navigation Ltd.,TRM41249.00,12475033,LEXA,0.055,0,0,0,2004-03-16T00:00:00Z,2010-12-20T01:43:00Z
Trimble Navigation Ltd.,TRM41249.00,12475288,MATW,0.055,0,0,0,2004-04-08T20:00:00Z,2008-07-28T00:00:00Z
Trimble Navigation Ltd.,TRM41249.00,12481342,TRAV,0.055,0,0,0,2005-06-23T00:00:00Z,2018-06-22T00:52:37Z
Trimble Navigation Ltd.,TRM41249.00,12481350,WAIM,0.055,0,0,0,2004-12-17T00:00:00Z,2010-11-22T05:50:00Z
Trimble Navigation Ltd.,TRM41249.00,12481380,VGPK,0.055,0,0,0,2005-01-21T00:00:00Z,2016-08-23T01:10:31Z
Trimble Navigation Ltd.,TRM41249.00,12482205,VGDR,0.055,0,0,0,2006-01-09T21:00:00Z,2006-04-20T23:59:59Z
Trimble Navigation Ltd.,TRM41249.00,12482205,ATIA,0.055,0,0,0,2006-10-10T23:00:30Z,2006-11-06T19:30:00Z
Trimble Navigation Ltd.,TRM41249.00,12482205,VGDR,0.055,0,0,0,2007-01-26T22:00:00Z,2010-04-09T03:00:00Z
Trimble Navigation Ltd.,TRM41249.00,12482226,VGTR,0.055,0,0,0,2005-02-11T00:00:00Z,2016-04-05T23:45:35Z
Trimble Navigation Ltd.,TRM41249.00,12545551,NLSN,0.055,0,0,0,2004-02-09T00:00:00Z,2011-01-25T03:15:00Z
Trimble Navigation Ltd.,TRM41249.00,12545551,SUTT,0.002,0,0,0,2017-03-09T00:00:03Z,2017-06-27T01:10:05Z
Trimble Navigation Ltd.,TRM41249.00,12545600,VGOT,0.055,0,0,0,2004-05-16T00:00:00Z,2004-05-20T00:00:00Z
Trimble Navigation Ltd.,TRM41249.00,12545617,GLDB,0.055,0,0,0,2004-02-02T00:00:00Z,2011-01-25T06:20:00Z
Trimble Navigation Ltd.,TRM41249.00,12547942,PARW,0.055,0,0,0,2004-07-15T00:00:00Z,2016-02-03T00:24:00Z
Trimble Navigation Ltd.,TRM41249.00,12547955,KAPT,0.055,0,0,0,2004-06-10T00:00:00Z,2018-05-08T23:14:07Z
Trimble Navigation Ltd.,TRM41249.00,12547997,MAVL,0.055,0,0,0,2004-05-17T00:00:00Z,2010-12-20T20:58:00Z
Trimble Navigation Ltd.,TRM41249.00,12560324,CMBL,0.055,0,0,0,2004-01-27T00:00:01Z,2016-03-29T00:14:55Z
Trimble Navigation Ltd.,TRM41249.00,12560359,RIPA,0.055,0,0,0,2004-02-20T00:00:00Z,2016-01-26T21:51:30Z
Trimble Navigation Ltd.,TRM41249.00,12561250,VGFW,0.055,0,0,0,2004-03-19T03:00:00Z,2016-06-16T02:33:33Z
Trimble Navigation Ltd.,TRM41249.00,12561323,VGOB,0.055,0,0,0,2004-02-10T23:00:00Z,2016-05-12T01:01:56Z
Trimble Navigation Ltd.,TRM41249.00,12561378,LKTA,0.055,0,0,0,2004-02-01T00:00:00Z,2011-02-08T00:44:00Z
Trimble Navigation Ltd.,TRM41249.00,12561415,VGWN,0.055,0,0,0,2004-05-18T00:00:00Z,2017-05-02T01:21:39Z
Trimble Navigation Ltd.,TRM41249.00,12578128,KAIK,0.055,0,0,0,2004-02-01T00:00:00Z,2011-01-28T00:03:30Z
Trimble Navigation Ltd.,TRM41249.00,12589818,MAHO,0.055,0,0,0,2004-02-03T00:00:00Z,2011-01-11T01:25:00Z
Trimble Navigation Ltd.,TRM41249.00,12589847,BLUF,0.055,0,0,0,2004-03-11T00:00:00Z,2010-11-25T04:42:00Z
Trimble Navigation Ltd.,TRM41249.00,12589901,HAAS,0.055,0,0,0,2004-06-23T00:36:19Z,2011-02-08T19:42:00Z
Trimble Navigation Ltd.,TRM41249.00,12589930,TAKP,0.055,0,0,0,2004-01-30T02:00:00Z,2015-11-11T01:09:00Z
Trimble Navigation Ltd.,TRM41249.00,12590014,PUKE,0.055,0,0,0,2004-02-16T00:00:00Z,2015-12-09T21:48:37Z
Trimble Navigation Ltd.,TRM41249.00,12611598,UTK4,0,0,0,0,2008-07-17T00:10:00Z,2016-08-30T20:00:00Z
Trimble Navigation Ltd.,TRM41249.00,12611794,RGTA,0.002,0,0,0,2007-11-22T00:40:00Z,2019-07-10T01:54:00Z
Trimble Navigation Ltd.,TRM41249.00,12611896,CLS4,0,0,0,0,2011-06-21T22:13:45Z,2011-10-30T20:30:00Z
Trimble Navigation Ltd.,TRM41249.00,12611896,NLS2,0,0,0,0,2011-12-20T03:25:57Z,2013-11-14T21:15:00Z
Trimble Navigation Ltd.,TRM41249.00,12612000,VGKR,0.055,0,0,0,2005-11-30T23:00:00Z,2017-04-25T02:03:55Z
Trimble Navigation Ltd.,TRM41249.00,12612069,HANA,0.002,0,0,0,2007-08-05T05:59:00Z,2012-05-30T00:00:01Z
Trimble Navigation Ltd.,TRM41249.00,12621961,BIRF,0.055,0,0,0,2005-01-22T00:00:00Z,2015-10-08T01:00:00Z
Trimble Navigation Ltd.,TRM41249.00,12626083,RGOP,0.002,0,0,0,2007-02-21T21:00:00Z,2017-03-24T02:28:28Z
Trimble Navigation Ltd.,TRM41249.00,12626091,TINT,0.002,0,0,0,2006-04-05T05:00:00Z,2016-08-25T00:48:30Z
Trimble Navigation Ltd.,TRM41249.00,12626092,PORA,0.002,0,0,0,2006-03-25T00:00:00Z,2015-09-30T22:55:01Z
Trimble Navigation Ltd.,TRM41249.00,12626150,DUND,0.002,0,0,0,2005-08-24T00:00:00Z,2010-11-24T02:30:00Z
