Make,Sensor,Datalogger,Serial,Station,Location,Azimuth,Method,Dip,Depth,Start Date,End Date
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De20927,CCMB,23,32,,0,1.65,2019-07-25T00:00:00Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De20928,CCMB,24,32,,0,1.8,2019-07-25T00:00:00Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De20929,CCMB,25,32,,0,1.75,2019-07-25T00:00:00Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De20930,CCMB,26,32,,0,-3.29,2019-07-25T00:00:00Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De20931,CCMB,27,32,,0,-7.295,2019-07-25T00:00:00Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De20932,CCMB,28,32,,0,-6.645,2019-07-25T00:00:00Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De20933,CCMB,29,32,,0,-6.565,2019-07-25T00:00:00Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De20934,CCMB,2A,32,,0,-11.165,2019-07-25T00:00:00Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De20935,CCMB,2B,32,,0,-11.365,2019-07-25T00:00:00Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De20936,CCMB,2C,32,,0,-11.38,2019-07-25T00:00:00Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De20937,CCMB,2D,32,,0,-11.37,2019-07-25T00:00:00Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De20938,CCMB,2E,32,,0,-10.775,2019-07-25T00:00:00Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De20939,CCMB,2F,32,,0,-18.795,2019-07-25T00:00:00Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,3De20940,CCMB,2G,32,,0,0,2019-07-25T00:00:00Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,Me-12001,STSB,23,325,,0,0.353,2014-07-01T00:00:03Z,9999-01-01T00:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,Me-12002,WQAB,21,10,,0,0,2012-05-15T00:00:01Z,2024-05-19T04:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,Me-12003,WQAB,22,10,,0,0,2012-05-15T00:00:01Z,2024-05-19T04:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,Me-12006,CPIB,21,0,,0,2.2,2012-05-15T00:00:00Z,2024-06-12T23:25:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,Me-12009,WQAB,23,10,,0,0,2012-05-15T00:00:01Z,2024-05-19T04:00:00Z
Canterbury Seismic Instruments,CUSP-Me,CUSP-Me,Me-12010,WQAB,24,10,,0,0,2012-05-15T00:00:01Z,2024-05-19T04:00:00Z
