Make,Model,Type,Number,Source,Subsource,Dip,Azimuth,Types,Sampling Rate,Response
Nanometrics,Titan TACCL-N1,Accelerometer,2,,E,0,90,G,,sensor_Nanometrics-Inc_Titan-TACCL-N1
Nanometrics,Titan TACCL-PH2,Accelerometer,0,,Z,-90,0,G,,sensor_Nanometrics-Inc_Titan
Nanometrics,Titan TACCL-PH2,Accelerometer,1,,N,0,0,G,,sensor_Nanometrics-Inc_Titan
Nanometrics,Titan TACCL-PH2,Accelerometer,2,,E,0,90,G,,sensor_Nanometrics-Inc_Titan
Nanometrics,Trillium 120QA,Broadband Seismometer,0,,Z,-90,0,G,,sensor_Nanometrics-Inc_Trillium-120QA
Nanometrics,Trillium 120QA,Broadband Seismometer,1,,N,0,0,G,,sensor_Nanometrics-Inc_Trillium-120QA
Nanometrics,Trillium 120QA,Broadband Seismometer,2,,E,0,90,G,,sensor_Nanometrics-Inc_Trillium-120QA
Nanometrics,Trillium 360,Broadband Seismometer,0,,Z,-90,0,G,,sensor_Nanometrics-Inc_Trillium-360
Nanometrics,Trillium 360,Broadband Seismometer,1,,N,0,0,G,,sensor_Nanometrics-Inc_Trillium-360
Nanometrics,Trillium 360,Broadband Seismometer,2,,E,0,90,G,,sensor_Nanometrics-Inc_Trillium-360
Nanometrics,Trillium Borehole T120-BH1,Broadband Seismometer,0,,Z,-90,0,G,,sensor_Nanometrics-Inc_Trillium-Borehole-T120-BH1
Nanometrics,Trillium Borehole T120-BH1,Broadband Seismometer,1,,N,0,0,G,,sensor_Nanometrics-Inc_Trillium-Borehole-T120-BH1
Nanometrics,Trillium Borehole T120-BH1,Broadband Seismometer,2,,E,0,90,G,,sensor_Nanometrics-Inc_Trillium-Borehole-T120-BH1
Nanometrics,Trillium Borehole T120-BH2,Broadband Seismometer,0,,Z,-90,0,G,,sensor_Nanometrics-Inc_Trillium-Borehole-T120-BH1
Nanometrics,Trillium Borehole T120-BH2,Broadband Seismometer,1,,N,0,0,G,,sensor_Nanometrics-Inc_Trillium-Borehole-T120-BH1
Nanometrics,Trillium Borehole T120-BH2,Broadband Seismometer,2,,E,0,90,G,,sensor_Nanometrics-Inc_Trillium-Borehole-T120-BH1
Nanometrics,Trillium Compact 120,Broadband Seismometer,0,,Z,-90,0,G,,sensor_Nanometrics-Inc_Trillium-Compact-120
Nanometrics,Trillium Compact 120,Broadband Seismometer,1,,N,0,0,G,,sensor_Nanometrics-Inc_Trillium-Compact-120
Nanometrics,Trillium Compact 120,Broadband Seismometer,2,,E,0,90,G,,sensor_Nanometrics-Inc_Trillium-Compact-120
Nanometrics,Trillium Compact 120PH-2,Broadband Seismometer,0,,Z,-90,0,G,,sensor_Nanometrics-Inc_Trillium-Compact-120PH-2
Nanometrics,Trillium Compact 120PH-2,Broadband Seismometer,1,,N,0,0,G,,sensor_Nanometrics-Inc_Trillium-Compact-120PH-2
Nanometrics,Trillium Compact 120PH-2,Broadband Seismometer,2,,E,0,90,G,,sensor_Nanometrics-Inc_Trillium-Compact-120PH-2
Nanometrics,Trillium Compact 20PH-2,Broadband Seismometer,0,,Z,-90,0,G,,sensor_Nanometrics-Inc_Trillium-Compact-20PH-2
Nanometrics,Trillium Compact 20PH-2,Broadband Seismometer,1,,N,0,0,G,,sensor_Nanometrics-Inc_Trillium-Compact-20PH-2
Nanometrics,Trillium Compact 20PH-2,Broadband Seismometer,2,,E,0,90,G,,sensor_Nanometrics-Inc_Trillium-Compact-20PH-2
Nanometrics,Trillium Horizon TH120-1,Broadband Seismometer,0,,Z,-90,0,G,,sensor_Nanometrics-Inc_Trillium-Horizon-TH120-1
Nanometrics,Trillium Horizon TH120-1,Broadband Seismometer,1,,N,0,0,G,,sensor_Nanometrics-Inc_Trillium-Horizon-TH120-1
Nanometrics,Trillium Horizon TH120-1,Broadband Seismometer,2,,E,0,90,G,,sensor_Nanometrics-Inc_Trillium-Horizon-TH120-1
Nanometrics,Trillium Horizon TH120-2,Broadband Seismometer,0,,Z,-90,0,G,,sensor_Nanometrics-Inc_Trillium-Horizon-TH120-2
Nanometrics,Trillium Horizon TH120-2,Broadband Seismometer,1,,N,0,0,G,,sensor_Nanometrics-Inc_Trillium-Horizon-TH120-2
Nanometrics,Trillium Horizon TH120-2,Broadband Seismometer,2,,E,0,90,G,,sensor_Nanometrics-Inc_Trillium-Horizon-TH120-2
Nanometrics,Trillium Posthole T120-PH3,Broadband Seismometer,0,,Z,-90,0,G,,sensor_Nanometrics_Trillium120PH_EG3_SG1203_LP120_STgroundVel
Nanometrics,Trillium Posthole T120-PH3,Broadband Seismometer,1,,N,0,0,G,,sensor_Nanometrics_Trillium120PH_EG3_SG1203_LP120_STgroundVel
Nanometrics,Trillium Posthole T120-PH3,Broadband Seismometer,2,,E,90,0,G,,sensor_Nanometrics_Trillium120PH_EG3_SG1203_LP120_STgroundVel
SAIC,BPR Subsystem,Bottom Pressure Recorder,0,,Z,0,0,G,-900,combined_SAIC_BPR-Subsystem_BPR-Subsystem_Z_900s
SAIC,BPR Subsystem,Bottom Pressure Recorder,0,,Z,0,0,G,-15,combined_SAIC_BPR-Subsystem_BPR-Subsystem_Z_15s
Sercel,L4C,Short Period Seismometer,0,,Z,-90,0,G,,sensor_Sercel_L4C
Sercel,L4C-3D,Short Period Seismometer,0,,Z,-90,0,G,,sensor_Sercel_L4C-3D
Sercel,L4C-3D,Short Period Seismometer,1,,N,0,0,G,,sensor_Sercel_L4C-3D
Sercel,L4C-3D,Short Period Seismometer,2,,E,0,90,G,,sensor_Sercel_L4C-3D
Setra,270-600/12V,Barometer,0,,F,0,0,W,,sensor_Setra_270-600-12V
Setra,270-600/24V,Barometer,0,,F,0,0,W,,sensor_Setra_270-600-24V
Setra,270-800/12V,Barometer,0,,F,0,0,W,,sensor_Setra_270-800-12V
Streckeisen,STS-2,Broadband Seismometer,0,,Z,-90,0,G,,sensor_Streckeisen_STS-2
Streckeisen,STS-2,Broadband Seismometer,1,,N,0,0,G,,sensor_Streckeisen_STS-2
Streckeisen,STS-2,Broadband Seismometer,2,,E,0,90,G,,sensor_Streckeisen_STS-2
Streckeisen,STS-6A VBB,Broadband Seismometer,0,,Z,-90,0,G,,sensor_Streckeisen_STS-6A
Streckeisen,STS-6A VBB,Broadband Seismometer,1,,N,0,0,G,,sensor_Streckeisen_STS-6A
Streckeisen,STS-6A VBB,Broadband Seismometer,2,,E,0,90,G,,sensor_Streckeisen_STS-6A
Thompson Sintra Pacific,Scout Hydrophone,Hydrophone,0,,H,0,0,G,,sensor_Unknown_Scout-Hydrophone
