Mark,Operator,Agency,Model,Satellite System,Interval,Elevation Mask,Header Comment,Format,Start Date,End Date
V47B,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,geonet,trimble_netr9 x4,2015-11-16T20:15:01Z,2017-06-27T05:59:30Z
VAVS,Vavau Survey,Tonga MLSNR,ASHTECH Z-XII3,GPS,30s,4,swpacific,ashtech_r x6,2000-09-20T00:00:00Z,2008-09-26T00:00:00Z
VAVS,Vavau Survey,Tonga MLSNR,TRIMBLE NETRS,GPS,30s,4,geonet,trimble_5700 x4,2009-06-08T23:00:00Z,2018-02-10T23:00:00Z
VEXA,GeoNet,GNS,TRIMBLE NETRS,GPS,30s,4,sagenz,trimble_5700 x4,2009-03-13T04:05:01Z,2016-02-29T23:30:07Z
VEXA,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,sagenz,trimble_netr9 x4,2016-02-29T23:30:08Z,9999-01-01T00:00:00Z
VGDR,GeoNet,GNS,TRIMBLE 5700,GPS,30s,4,geonet,trimble_5700 x5,2004-05-16T00:00:00Z,2004-05-20T00:00:00Z
VGDR,GeoNet,GNS,TRIMBLE NETRS,GPS,30s,4,geonet,trimble_5700 x4,2006-01-09T21:00:00Z,2010-04-09T03:00:00Z
VGET,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,3,geonet,trimble_netr9 x4,2014-03-12T03:12:38Z,2016-04-27T22:21:49Z
VGET,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,geonet,trimble_netr9 x4,2016-04-27T22:21:50Z,9999-01-01T00:00:00Z
VGFW,GeoNet,GNS,TRIMBLE NETRS,GPS,30s,4,geonet,trimble_5700 x4,2004-03-19T03:00:00Z,2016-06-16T02:33:33Z
VGFW,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,geonet,trimble_netr9 x4,2016-06-16T02:33:34Z,9999-01-01T00:00:00Z
VGKR,GeoNet,GNS,TRIMBLE NETRS,GPS,30s,4,geonet,trimble_5700 x4,2005-11-30T23:00:00Z,2017-04-24T22:48:31Z
VGKR,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,geonet,trimble_netr9 x4,2017-04-24T22:48:32Z,9999-01-01T00:00:00Z
VGMO,GeoNet,GNS,TRIMBLE NETRS,GPS,30s,4,geonet,trimble_5700 x4,2005-03-31T00:00:00Z,2018-04-04T00:09:59Z
VGMO,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,geonet,trimble_netr9 x4,2018-04-04T00:10:00Z,9999-01-01T00:00:00Z
VGMT,GeoNet,GNS,TRIMBLE NETRS,GPS,30s,4,geonet,trimble_5700 x4,2005-02-01T00:00:00Z,2011-01-17T01:26:00Z
VGMT,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,3,linz,trimble_netr9 x4,2011-01-17T03:37:51Z,2015-07-29T17:42:00Z
VGMT,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,linz,trimble_netr9 x4,2015-07-29T17:42:01Z,2016-07-26T17:04:00Z
VGMT,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO+GAL+BDS+QZSS,30s,0,linz,trimble_netr9 x4,2016-07-26T17:04:01Z,9999-01-01T00:00:00Z
VGNG,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,3,geonet,trimble_netr9 x4,2014-02-25T21:52:38Z,2016-04-27T23:13:44Z
VGNG,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,geonet,trimble_netr9 x4,2016-04-27T23:13:45Z,9999-01-01T00:00:00Z
VGNT,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,geonet,trimble_netr9 x4,2016-02-04T21:40:00Z,9999-01-01T00:00:00Z
VGOB,GeoNet,GNS,TRIMBLE NETRS,GPS,30s,4,geonet,trimble_5700 x4,2004-02-10T23:00:00Z,2016-05-12T01:01:56Z
VGOB,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,geonet,trimble_netr9 x4,2016-05-12T01:01:58Z,9999-01-01T00:00:00Z
VGOT,GeoNet,GNS,TRIMBLE 5700,GPS,30s,4,geonet,trimble_5700 x5,2004-05-16T00:00:00Z,2004-05-20T00:00:00Z
VGOT,GeoNet,GNS,TRIMBLE NETRS,GPS,30s,4,geonet,trimble_5700 x4,2006-06-08T02:00:00Z,2017-02-21T21:22:30Z
VGOT,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,geonet,trimble_netr9 x4,2017-02-21T21:22:32Z,9999-01-01T00:00:00Z
VGPK,GeoNet,GNS,TRIMBLE NETRS,GPS,30s,4,geonet,trimble_5700 x4,2005-01-21T00:00:00Z,2016-08-23T01:10:31Z
VGPK,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,geonet,trimble_netr9 x4,2016-08-23T01:10:33Z,9999-01-01T00:00:00Z
VGT2,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,4,geonet,trimble_netr9 x4,2012-07-27T01:00:00Z,2012-08-06T11:50:00Z
VGT8,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,3,geonet,trimble_netr9 x4,2013-06-10T03:05:34Z,2016-04-27T23:32:25Z
