Station,Location,Band,Source,Sampling Rate,Axial,Reversed,Triggered,Start Date,End Date
BHHZ,10,E,H,100,false,false,false,2020-02-12T22:04:00Z,9999-01-01T00:00:00Z
BHW,10,L,H,1,false,false,false,2016-07-15T02:32:00Z,2020-07-15T01:01:00Z
BHW,10,E,H,100,false,false,false,2003-06-14T10:00:00Z,2016-07-15T02:30:00Z
BHW,10,H,H,100,false,false,false,2016-07-15T02:32:00Z,2020-07-15T01:01:00Z
BHW,10,E,H,100,false,false,false,2020-08-18T22:45:00Z,9999-01-01T00:00:00Z
BKZ,10,V,H,0.1,false,true,false,2004-02-11T02:00:00Z,2013-10-09T00:00:00Z
BKZ,10,V,H,0.1,false,false,false,2013-10-09T00:00:01Z,2013-12-31T00:00:00Z
BKZ,10,L,H,1,false,true,false,2004-02-11T02:00:00Z,2013-10-09T00:00:00Z
BKZ,10,L,H,1,false,false,false,2013-10-09T00:00:01Z,9999-01-01T00:00:00Z
BKZ,10,H,H,100,false,true,false,2004-02-11T02:00:00Z,2013-10-09T00:00:00Z
BKZ,10,H,H,100,false,false,false,2013-10-09T00:00:01Z,9999-01-01T00:00:00Z
BKZ,20,B,N,50,false,false,false,2013-10-09T00:00:01Z,2020-06-16T00:00:00Z
BKZ,20,H,N,200,false,false,true,2004-02-11T02:00:00Z,2020-01-31T03:30:00Z
BKZ,21,H,N,200,false,false,false,2021-10-22T00:32:00Z,9999-01-01T00:00:00Z
BLAA,10,S,H,50,false,false,true,1995-11-11T00:00:01Z,1996-04-21T23:59:59Z
BLTA,10,S,H,50,false,false,true,1994-01-27T08:04:00Z,1994-04-22T19:58:00Z
BLUC,10,S,H,50,false,false,true,2001-01-12T08:57:00Z,2001-06-26T15:50:00Z
BMTS,20,B,N,50,true,false,false,2011-01-18T04:00:00Z,2020-06-16T00:00:00Z
BMTS,20,H,N,200,true,false,true,2011-01-18T04:00:00Z,2020-02-08T23:59:59Z
BMTS,20,H,N,200,true,false,false,2020-02-09T00:00:00Z,9999-01-01T00:00:00Z
BNDC,10,S,H,50,false,false,true,2001-01-19T04:46:00Z,2001-02-25T00:13:00Z
BOWS,20,B,N,50,true,false,false,2014-03-17T22:08:00Z,2020-06-16T00:00:00Z
BOWS,20,H,N,200,true,false,true,2014-03-17T22:08:00Z,2020-11-09T00:30:00Z
BOWS,20,H,N,200,true,false,false,2020-11-09T01:15:00Z,9999-01-01T00:00:00Z
BPGG,10,S,H,50,false,false,true,1993-08-11T16:25:00Z,1993-08-11T16:27:00Z
BRAH,10,S,H,50,false,false,true,2005-05-03T23:29:00Z,2005-05-17T15:18:00Z
BRKS,10,E,H,100,false,false,false,2009-07-17T00:00:01Z,2009-12-10T06:18:00Z
BSWZ,10,E,H,100,false,false,false,2003-12-09T00:00:00Z,2024-04-11T01:16:00Z
BSWZ,10,H,H,100,false,false,false,2024-04-11T01:46:00Z,9999-01-01T00:00:00Z
BSWZ,20,B,N,50,false,false,false,2016-11-15T06:11:00Z,2020-05-27T21:11:00Z
BSWZ,20,H,N,200,false,false,true,2016-11-15T06:11:00Z,2020-05-27T21:11:00Z
