Make,Model,Serial,Place,Role,Start Date,End Date
GNS Science,EARSS/3,107,Hossock Road Extension,Short Period,1995-02-16T08:51:00Z,1995-05-14T15:44:00Z
GNS Science,EARSS/3,107,Ahaura,Short Period,1995-11-19T17:31:00Z,1995-12-12T01:28:00Z
GNS Science,EARSS/3,107,Crestridge,Short Period,2001-01-09T11:09:00Z,2001-06-24T11:39:00Z
GNS Science,EARSS/3,108,Ngariki Road,Short Period,1989-08-17T01:06:00Z,1989-08-21T18:45:00Z
GNS Science,EARSS/3,108,Mahoenui,Short Period,1989-09-28T03:26:00Z,1989-10-29T02:13:00Z
GNS Science,EARSS/3,108,Whitehall,Short Period,1989-10-30T13:35:00Z,1989-12-16T06:56:00Z
GNS Science,EARSS/3,108,Hanmer Springs,Short Period,1990-02-11T10:10:00Z,1990-02-11T18:36:00Z
GNS Science,EARSS/3,108,Maling Pass,Short Period,1990-02-12T05:29:00Z,1990-02-18T01:09:00Z
GNS Science,EARSS/3,108,Mount Kruse,Short Period,1990-02-18T02:37:00Z,1990-02-25T21:23:00Z
GNS Science,EARSS/3,108,Wairakei B,Short Period,1990-08-13T10:46:00Z,1990-08-22T20:55:00Z
GNS Science,EARSS/3,108,Bend Point,Short Period,1993-03-19T23:49:00Z,1993-06-25T07:28:00Z
GNS Science,EARSS/3,108,Knob's Flat,Short Period,1993-08-14T01:46:00Z,1993-08-15T20:56:00Z
GNS Science,EARSS/3,108,Resolution Island,Short Period,1993-08-16T00:21:00Z,1993-08-28T18:08:00Z
GNS Science,EARSS/3,108,Isis Stream,Short Period,1993-10-18T05:51:00Z,1994-03-11T18:48:00Z
GNS Science,EARSS/3,108,Ruatahunga,Short Period,1994-07-28T07:44:00Z,1994-12-13T16:23:00Z
GNS Science,EARSS/3,108,Dunkirk Road,Short Period,1995-01-10T09:13:00Z,1995-06-04T10:05:00Z
GNS Science,EARSS/3,108,Karioi,Short Period,1995-09-28T13:38:00Z,1995-10-20T15:08:00Z
GNS Science,EARSS/3,108,Christiana Ski Club,Short Period,1995-10-21T02:28:00Z,1995-12-25T17:16:00Z
GNS Science,EARSS/3,108,Poulter River,Short Period,1996-02-08T00:00:00Z,1996-04-18T00:00:00Z
GNS Science,EARSS/3,108,Konini,Short Period,2001-01-09T23:09:00Z,2001-02-21T10:43:00Z
GNS Science,EARSS/3,108,Awanui,Short Period,2001-05-01T06:36:00Z,2001-06-24T14:11:00Z
GNS Science,EARSS/3,109,Mount Kruse,Short Period,1990-02-13T15:38:00Z,1990-02-17T07:25:00Z
GNS Science,EARSS/3,109,Kaitoke Farm,Short Period,1990-05-14T01:23:00Z,1990-05-17T22:05:00Z
GNS Science,EARSS/3,109,Smithy Creek,Short Period,1993-03-18T10:04:00Z,1993-06-19T19:26:00Z
