Datalogger Make,Datalogger Model,Serial Number,Deployment Place,Deployment Role,Installation Date,Removal Date
GNSScience,EARSS/3,115,Blue Pacific Motel,Short Period,1993-08-11T16:25:00Z,1993-08-11T16:27:00Z
GNSScience,EARSS/3,115,Kiriroa,Short Period,1993-08-12T01:17:00Z,1993-09-07T07:23:00Z
GNSScience,EARSS/3,115,Puhi Puhi River,Short Period,1993-10-22T10:34:00Z,1994-03-12T14:56:00Z
GNSScience,EARSS/3,115,Woodgreen Station,Short Period,1994-08-08T03:27:00Z,1994-12-09T19:45:00Z
GNSScience,EARSS/3,115,Wairua,Short Period,1995-01-13T10:41:00Z,1995-02-18T09:16:00Z
GNSScience,EARSS/3,115,Gully Road,Short Period,1995-05-01T01:55:00Z,1995-06-03T01:43:00Z
GNSScience,EARSS/3,115,Erua,Short Period,1995-09-26T01:42:00Z,1995-09-27T01:04:00Z
GNSScience,EARSS/3,115,Top of the Bruce,Short Period,1995-09-28T02:46:00Z,1995-09-28T20:41:00Z
GNSScience,EARSS/3,115,Swamp Road,Short Period,1995-10-02T13:04:00Z,1995-10-20T15:08:00Z
GNSScience,EARSS/3,115,Express,Short Period,1995-10-25T03:58:00Z,1995-11-06T15:03:00Z
GNSScience,EARSS/3,115,Kotare,Short Period,2001-01-12T08:37:00Z,2001-02-18T00:15:00Z
GNSScience,EARSS/3,115,Kotare,Short Period,2001-03-13T03:15:00Z,2001-06-26T00:35:00Z
GNSScience,EARSS/3,116,Angora Road,Short Period,1992-03-03T02:51:00Z,1992-03-03T12:28:00Z
GNSScience,EARSS/3,116,Puponga,Short Period,1993-10-25T01:57:00Z,1994-02-28T19:16:00Z
GNSScience,EARSS/3,116,Flaxbourne,Short Period,1994-03-05T12:33:00Z,1994-03-12T23:06:00Z
GNSScience,EARSS/3,116,Paritu Road,Short Period,1994-07-26T19:28:00Z,1994-12-09T09:05:00Z
GNSScience,EARSS/3,116,Whirinaki West,Short Period,1995-01-13T16:07:00Z,1995-05-14T15:44:00Z
GNSScience,EARSS/3,116,"Mount Barker Road, Wanaka",Short Period,1995-11-12T00:00:00Z,1996-04-19T04:50:00Z
GNSScience,EARSS/3,116,Zillian Hill,Short Period,1999-08-01T08:38:00Z,1999-11-29T21:02:00Z
GNSScience,EARSS/3,116,Bluff Hill,Short Period,2001-01-12T08:57:00Z,2001-06-26T15:50:00Z
GNSScience,EARSS/3,116,Nancy Sound,Short Period,2003-08-24T05:05:00Z,2003-09-11T03:43:00Z
GNSScience,EARSS/3,116,Maori Saddle,Short Period,2005-05-04T03:07:00Z,2005-05-24T00:54:00Z
GNSScience,EARSS/3,117,Diamond Lake,Short Period,1993-03-23T08:51:00Z,1993-03-23T22:06:00Z
GNSScience,EARSS/3,117,Paradise,Short Period,1993-03-24T04:20:00Z,1993-06-22T16:56:00Z
GNSScience,EARSS/3,117,Irvine's Farm,Short Period,1993-10-21T06:31:00Z,1994-03-01T23:30:00Z
GNSScience,EARSS/3,117,Vernon,Short Period,1994-03-03T04:19:00Z,1994-03-11T13:07:00Z
GNSScience,EARSS/3,117,Bealy Hotel,Short Period,1994-06-19T06:48:00Z,1994-06-20T09:23:00Z
GNSScience,EARSS/3,117,Mount Harry,Short Period,1994-06-23T21:33:00Z,1994-07-01T23:57:00Z
GNSScience,EARSS/3,117,Swamp Road,Short Period,1995-09-26T07:39:00Z,1995-09-26T19:49:00Z
GNSScience,EARSS/3,118,Kokorua,Short Period,1993-10-21T02:48:00Z,1994-03-13T16:40:00Z
