Datalogger Make,Datalogger Model,Serial Number,Deployment Place,Installation Date,Removal Date
Kinemetrics,Q330/3,2349,Chateau Observatory Borehole Q330,2009-04-22T23:00:01Z,2010-11-30T22:30:00Z
Kinemetrics,Q330/3,2349,Murupara Q330,2011-03-24T00:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,2350,Taurewa Q330,2011-06-20T23:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,2356,Matea Road Q330,2010-05-14T00:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,2357,Bayfield Park Herne Bay Q330,2009-08-07T00:00:02Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,2358,Rangatira Station Q330,2010-03-13T06:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,2361,Lake Rotokare Q330,2010-01-27T00:00:02Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,2363,North Egmont Visitor Centre Q330,2010-02-21T00:00:02Z,2011-07-20T04:00:00Z
Kinemetrics,Q330/3,2363,Wakanui Q330,2013-03-27T22:47:00Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,2364,Arahi Q330,2008-05-14T06:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,2366,Port of Tauranga Q330,2008-05-21T02:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,2367,Shannon Station Q330,2009-06-08T02:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,2368,Tauwhareparae Station Q330,2009-12-09T12:00:01Z,2014-07-22T22:40:00Z
Kinemetrics,Q330/3,2455,Sumner Head Q330,2010-06-15T00:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,2460,Inchbonnie Q330,2011-01-26T00:00:01Z,2015-05-28T06:05:00Z
Kinemetrics,Q330/3,2462,Kaweka Forest Q330,2010-06-02T03:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,2464,Puysegur Welcome Bay Q330,2009-11-27T21:15:01Z,2014-02-25T00:00:00Z
Kinemetrics,Q330/3,2464,Cape Campbell Q330,2014-09-03T03:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,2466,Rimuhau Hill Q330,2010-03-12T00:00:01Z,2012-08-14T00:00:00Z
Kinemetrics,Q330/3,2466,Hikuraki Station Q330,2014-03-25T00:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,2471,Pakihiroa Q330,2010-06-21T00:00:01Z,2010-10-19T00:20:00Z
