Mark Code,Network Code,Mark Name,Mark Type,Latitude,Longitude,Height,Datum,Vertical Offset,Dome Number,Plan Reference,Protection,Sky View,Established By,Start Time,End Time
PYGR,LI,Puysegur Point,Iron Tube,-46.166175171,166.680740474,253.0808,NZGD2000,-1.15,50240M001,,,Good,,2006-12-03T11:00:00Z,9999-01-01T00:49:55Z
PYGR,LI,Puysegur Point,Not Specified,-46.166175171,166.680740474,253.0808,NZGD2000,-1.15,50240M001,,,Good,,2006-12-03T11:00:00Z,9999-01-01T00:49:55Z
QUAR,SA,Quarry,Stainless Steel Pin,-43.53167985,169.815818961,58.0333,NZGD2000,-0.6,,,,unknown,,2000-02-04T11:00:00Z,9999-01-01T01:15:16Z
QUAR,SA,Quarry,Nail,-43.53167985,169.815818961,58.0333,NZGD2000,-0.6,,,,unknown,,2000-02-04T11:00:00Z,9999-01-01T01:15:16Z
QUAR,SA,Quarry,Iron Spike,-43.53167985,169.815818961,58.0333,NZGD2000,-0.6,,,,unknown,,2000-02-04T11:00:00Z,9999-01-01T01:15:16Z
QUAR,SA,Quarry,Lead Plug,-43.53167985,169.815818961,58.0333,NZGD2000,-0.6,,,,unknown,,2000-02-04T11:00:00Z,9999-01-01T01:15:16Z
QUAR,SA,Quarry,Iron Tube,-43.53167985,169.815818961,58.0333,NZGD2000,-0.6,,,,unknown,,2000-02-04T11:00:00Z,9999-01-01T01:15:16Z
QUAR,SA,Quarry,Forced Centering,-43.53167985,169.815818961,58.0333,NZGD2000,-0.6,,,,unknown,,2000-02-04T11:00:00Z,9999-01-01T01:15:16Z
QUAR,SA,Quarry,Not Specified,-43.53167985,169.815818961,58.0333,NZGD2000,-0.6,,,,unknown,,2000-02-04T11:00:00Z,9999-01-01T01:15:16Z
QUAR,SA,Quarry,Steel Pin,-43.53167985,169.815818961,58.0333,NZGD2000,-0.6,,,,unknown,,2000-02-04T11:00:00Z,9999-01-01T01:15:16Z
QUAR,SA,Quarry,Bronze Pin,-43.53167985,169.815818961,58.0333,NZGD2000,-0.6,,,,unknown,,2000-02-04T11:00:00Z,9999-01-01T01:15:16Z
QUAR,SA,Quarry,Iron Rod,-43.53167985,169.815818961,58.0333,NZGD2000,-0.6,,,,unknown,,2000-02-04T11:00:00Z,9999-01-01T01:15:16Z
QUAR,SA,Quarry,Unmarked mark,-43.53167985,169.815818961,58.0333,NZGD2000,-0.6,,,,unknown,,2000-02-04T11:00:00Z,9999-01-01T01:15:16Z
RAHI,CG,Arahi,Iron Rod,-38.916179094,177.086052871,467.092,NZGD2000,0,,,,5-8 degrees sky view obstructions from pine trees on skyline at 280-295 degrees from true north,,2008-05-14T12:00:00Z,9999-01-01T01:38:51Z
RAHI,CG,Arahi,Forced Centering,-38.916179094,177.086052871,467.092,NZGD2000,0,,,,5-8 degrees sky view obstructions from pine trees on skyline at 280-295 degrees from true north,,2008-05-14T12:00:00Z,9999-01-01T01:38:51Z
RAHI,CG,Arahi,Bronze Pin,-38.916179094,177.086052871,467.092,NZGD2000,0,,,,5-8 degrees sky view obstructions from pine trees on skyline at 280-295 degrees from true north,,2008-05-14T12:00:00Z,9999-01-01T01:38:51Z
RAHI,CG,Arahi,Iron Tube,-38.916179094,177.086052871,467.092,NZGD2000,0,,,,5-8 degrees sky view obstructions from pine trees on skyline at 280-295 degrees from true north,,2008-05-14T12:00:00Z,9999-01-01T01:38:51Z
RAHI,CG,Arahi,Lead Plug,-38.916179094,177.086052871,467.092,NZGD2000,0,,,,5-8 degrees sky view obstructions from pine trees on skyline at 280-295 degrees from true north,,2008-05-14T12:00:00Z,9999-01-01T01:38:51Z
RAHI,CG,Arahi,Steel Pin,-38.916179094,177.086052871,467.092,NZGD2000,0,,,,5-8 degrees sky view obstructions from pine trees on skyline at 280-295 degrees from true north,,2008-05-14T12:00:00Z,9999-01-01T01:38:51Z
RAHI,CG,Arahi,Not Specified,-38.916179094,177.086052871,467.092,NZGD2000,0,,,,5-8 degrees sky view obstructions from pine trees on skyline at 280-295 degrees from true north,,2008-05-14T12:00:00Z,9999-01-01T01:38:51Z
RAHI,CG,Arahi,Unmarked mark,-38.916179094,177.086052871,467.092,NZGD2000,0,,,,5-8 degrees sky view obstructions from pine trees on skyline at 280-295 degrees from true north,,2008-05-14T12:00:00Z,9999-01-01T01:38:51Z
