Station Code,Location Code,Datalogger Place,Offset,Length,Start Date,End Date
GNSW,31,Old GNS Wairakei Q330,0,1,2006-08-30T12:00:02Z,2007-01-23T12:00:00Z
GR1A,10,Upcot Orion,0,3,2001-07-30T12:00:00Z,2002-01-21T13:00:00Z
GR2A,10,"Glenlee, Awatere Valley #2 Orion",0,3,2001-07-30T14:00:02Z,2002-01-21T14:00:00Z
GR3A,10,"Glenlee, Awatere Valley #3 Orion",0,3,2001-07-30T10:00:01Z,2002-01-21T14:00:00Z
GR5A,10,Glenlee Orion,0,3,2001-07-28T12:00:01Z,2002-01-21T15:00:00Z
GRRZ,10,Galatos Road - Hughes Farm Q330,0,3,2009-11-12T12:00:00Z,9999-01-01T00:00:00Z
GRYO,10,Grays Taurus,0,3,2014-10-13T08:30:00Z,2015-04-09T10:00:00Z
GRZ,10,Sanderson Farm Q330,3,3,2010-05-09T12:00:01Z,9999-01-01T00:00:00Z
GRZ,20,Sanderson Farm Q330,0,3,2010-05-12T12:00:00Z,9999-01-01T00:00:00Z
GSXX,10,Glenlee Station Taurus,0,3,2013-08-20T22:10:00Z,2013-11-18T21:00:00Z
GVZ,10,Greta Valley Q330,0,3,2012-12-03T16:00:00Z,9999-01-01T00:00:00Z
HAMO,10,Hampden Taurus,0,3,2014-09-18T12:01:00Z,2015-04-11T17:00:00Z
HATZ,10,Hinemaiaia Q330,0,1,2003-04-15T01:00:02Z,9999-01-01T00:00:00Z
HAZ,10,Maungaroa Station Q330,3,3,2010-01-13T21:05:00Z,9999-01-01T00:00:00Z
HAZ,20,Maungaroa Station Q330,0,3,2010-01-13T21:05:00Z,9999-01-01T00:00:00Z
HBAZ,10,Bayfield Park Herne Bay Q330,0,3,2009-08-06T12:00:02Z,9999-01-01T00:00:00Z
HHSZ,10,"Highcliff Hill, Dunedin Q330",0,3,2006-04-07T14:00:01Z,2008-06-25T12:00:00Z
HINO,10,Hindon Taurus,0,3,2014-03-13T08:00:02Z,2014-10-06T14:00:00Z
HIZ,10,Hauiti Q330hr,0,3,2014-01-29T12:00:01Z,9999-01-01T00:00:00Z
HIZ,10,Hauiti Q4120,3,3,2004-02-02T13:00:00Z,2014-01-29T12:00:00Z
HIZ,20,Hauiti Q330hr,3,3,2014-01-29T12:00:01Z,9999-01-01T00:00:00Z
HIZ,20,Hauiti Q4120,0,3,2004-02-02T13:00:00Z,2014-01-29T12:00:00Z
HLRZ,10,Highlands Station Q330,0,3,2008-12-02T12:00:00Z,9999-01-01T00:00:00Z
HOWZ,10,Holdsworth Station Q330,0,3,2007-02-22T10:35:00Z,9999-01-01T00:00:00Z
HRRZ,10,Hathaway Farm Q330,0,3,2007-03-21T16:00:00Z,9999-01-01T00:00:00Z
HSRZ,10,Hossack Road Q330,0,3,2010-04-12T15:30:00Z,9999-01-01T00:00:00Z
HWKO,10,Hawkdun Taurus,0,3,2014-09-15T10:00:00Z,2015-04-13T14:00:00Z
IDAO,10,Ida Valley Taurus,0,3,2014-09-15T12:01:00Z,2015-04-13T12:00:00Z
IF01,10,Matiu-Somes Island Taurus,0,3,2008-10-05T10:41:00Z,2009-02-16T10:00:00Z
IF02,10,Horizon International Brick and Paving Centre Taurus,0,3,2008-10-23T10:01:00Z,2009-02-11T10:00:00Z
IF03,10,Guthrie Street Taurus,0,3,2008-11-23T14:08:00Z,2009-02-11T10:00:00Z
IF04,10,Purser Grove Taurus,0,3,2008-11-25T16:11:00Z,2009-02-11T12:30:00Z
IF05,10,"GNS Science, Avalon Taurus",0,3,2008-10-23T15:38:00Z,2009-02-10T15:00:00Z
IF06,10,Hockey Stadium Taurus,0,3,2008-10-06T11:46:00Z,2009-02-11T11:00:00Z
IF07,10,Lower Hutt Croft Combined Carriers Taurus,0,3,2008-10-06T15:31:00Z,2009-02-11T09:00:00Z
IF08,10,Lower Hutt Emergency Management Taurus,0,3,2008-10-02T12:20:00Z,2009-02-11T10:00:00Z
IF09,10,GNS Rafter Taurus,0,3,2008-10-02T10:19:00Z,2009-02-11T09:00:00Z
IF10,10,Lower Hutt Rock Site Taurus,0,3,2008-09-30T14:14:00Z,2009-02-11T10:00:00Z
IF11,10,Point Howard Taurus,0,3,2008-09-30T12:22:00Z,2009-02-12T12:00:00Z
IF12,10,St. Oran's College Taurus,0,3,2008-10-02T12:46:00Z,2009-02-11T10:30:00Z
IF13,10,Lower Hutt Unilever Taurus,0,3,2008-10-02T09:51:00Z,2009-02-11T09:00:00Z
