Station,Location,Band,Source,Sampling Rate,Axial,Triggered,Start Date,End Date
SUMT,40,L,T,1,false,false,2010-08-11T00:00:00Z,2022-03-31T20:00:00Z
SUMT,40,B,T,10,false,false,2010-08-11T00:00:00Z,2022-03-31T20:00:00Z
SUMT,41,L,T,1,false,false,2010-08-11T00:00:00Z,2022-03-31T20:00:00Z
SUMT,41,B,T,10,false,false,2010-08-11T00:00:00Z,2022-03-31T20:00:00Z
TAUT,40,L,T,1,false,false,2008-05-21T00:00:00Z,9999-01-01T00:00:00Z
TAUT,40,B,T,10,false,false,2008-05-21T00:00:00Z,9999-01-01T00:00:00Z
TAUT,41,L,T,1,false,false,2008-05-21T00:00:00Z,9999-01-01T00:00:00Z
TAUT,41,B,T,10,false,false,2008-05-21T00:00:00Z,9999-01-01T00:00:00Z
WLGT,40,L,T,1,false,false,2007-03-06T00:00:02Z,9999-01-01T00:00:00Z
WLGT,40,B,T,10,false,false,2007-03-06T00:00:02Z,9999-01-01T00:00:00Z
WLGT,41,L,T,1,false,false,2007-03-06T00:00:02Z,9999-01-01T00:00:00Z
WLGT,41,B,T,10,false,false,2007-03-06T00:00:02Z,9999-01-01T00:00:00Z
