Station,Location,Calibration,Magnitude Type,Start Date,End Date,Citations,Notes 
OGWZ,10,0.027782198,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
OHWZ,10,0.298755617,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
OKCZ,10,0.269738441,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
OMRZ,10,-0.386221888,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
OPRZ,10,-0.398266839,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
OPZ,10,0.343092986,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
OTVZ,10,0.294753254,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
OUZ,10,-0.245194969,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
OXZ,10,0.300347722,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
PAWZ,10,-0.076382374,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
PKE,10,0.535451378,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
PKGZ,10,-0.008145703,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
PKVZ,10,0.167950188,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
PLWZ,10,-0.117451998,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
PNHZ,10,-0.029339554,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
POIZ,10,0.116482923,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
POWZ,10,0.227640636,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
PREZ,10,0.304612608,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
