Station,Layer,", Material  (Description)",", Overburden (Strength)",", Thickness ((m))",", Thickness (Notes)",", Notes ()",", References ()",", Bulk Dens ((t/m3))",", Bulk Dens (Notes)",", SPT(N) ()",", SPT(N) (Notes)",", Vs ((m/s))",", Vs (Notes)"
NCHS,1,silty sand,loose,7,,,,,,,,163,1 - 10m
NCHS,2,clayey silty sand,loose,3,,very loose -medium dense,,,,,,,
NELS,1,mudstone,very stiff,3,,"Mudstone- fissured, brittle",,,,,,,
NELS,2,gravel,dense,0.3,,,,,,,,,
NELS,3,silt/clay,hard,5,,"mudstone, brittle",,,,,,,
NELS,4,sandstone,hard,3,,,,,,,,,
NELS,5,sandy mudstone,hard,,,,,,,,,,
NGHS,1,siltstone,medium dense,7,>?,,,,,,,,
NLMS,1,silt fill/ sand/ gravel  ,soft,3.1,,soft / loose,,,,,,,
NLMS,2,sandy clay & gravel,firm,2.7,,,,,,,,,
NLMS,3,silty clay & gravel,soft,1.8,,,,,,,,,
NLMS,4,sandy clay & gravel,medium dense,4,,,,,,,,,
NLMS,5,sandy clay & gravel & boulders,dense,40,,stiff / dense,,,,,,,
NMPS,1,"sand, gravel",dense,7,5 to 10,loose - top 2m,,,,,,,
NNBS,1,sand & clay ,loose,26,," loose/ firm (ChCh Fm)",,,,,,,
NNBS,2,sand & gravel,medium dense,25,,(Burnham Fm),,,,,,,
NNBS,3,sand/ sand & clay,,12,,sand/ sand & clay (Bromley Fm),,,,,,,
NNZ,1,,,0,,,,,,,,,
NPCS,1,clay with silt bands,firm,18,~,"firm- stiff volcanic ash-(sensitive clay), occassional silt bands:soft on working",,,,,,,
NPCS,2,peaty lignite & sand ,firm,6,~,peaty lignite & sand - banded,,,,,,,
NPCS,3,silty sand & sand,stiff ,2,~,,,,,,,,
NPCS,4,,,,,Breccia,,,,,,,
NSBS,1,"sand, gravel & silt",loose,,?,loose/ firm. From present river flood plains.,,,,,,,
NSPS,1,weathered limestone,medium dense,2,?,,,,,,,,
NWFS,1,"sand, gravel",dense,7,5 to 10,loose - top 2m,,,,,,,
OAMS,1,sandy silt,soft,3,,soft/ firm topsoil/ loess,,,,,,,
OAMS,2,sand,medium dense,27,,medium dense - dense Pleistocene ,,,,,,,
ODZ,1,,,0,,,,,,,,,
OHKS,1,,,0,,,,,,,,,
OIZ,1,,,0,,,,,,,,,
ONIS,1,sandy silty gravel ,medium dense,100,,medium dense to dense (Opua Fm - andesitic breccia),,,,,,,
ONIS,2,"gravel, sand",very dense,250,,older Lahars,,,,,,,
OPCS,1,"sand, silt and gravel",medium dense,75,50 - 100,loose/soft to medium dense,,,,,,,
ORCS,1,silty/sand,soft,3,?,topsoil/ volcanic ash,,,,,,,
ORCS,2,gravel with sand,dense,100,c?,agglomerate (Lahar deposits),,,,,,,
OTKS,1,sand over silty gravels. ,medium dense,40,?,loose to dense peaty beach (dune) sand over silty gravels.,,,,,,,
