Station,Layer,", Material  (Description)",", Overburden (Strength)",", Thickness ((m))",", Thickness (Notes)",", Notes ()",", References ()",", Bulk Dens ((t/m3))",", Bulk Dens (Notes)",", SPT(N) ()",", SPT(N) (Notes)",", Vs ((m/s))",", Vs (Notes)"
216A,1,mud & sand,soft ,20,>,very soft to soft estuarine mud & sand,,,,,,,
216B,1,mud & sand,soft ,20,>,very soft to soft estuarine mud & sand,,,,,,,
217A,1,"gravel, silt & sand",medium dense,40,?,"soft/ firm - loose/ medium dense alluvium - Greywacke gravel, sand, silt",,,,,,,
218A,1,sand,loose,5,,,,,,,,,
218A,2,silt & clay,soft,20,,marine,,,,,,,
218A,3,silt & clay,firm,15,,firm to stiff fluvial ,,,,,,,
219A,1,gravel & sand,loose ,10,,Taupo Alluvium (pumice gravel & sand),,,,,,,
219A,2,silt,firm,4.5,,firm to stiff lake silts (Taupo alluvium),,,,,,,
219A,3,sand/silt,stiff,250,,Huka formation-effective bedrock in part,,,,,,,
220A,1,gravel & sand,loose,5.5,,Taupo Alluvium (pumice gravel & sand),,,,,,,
220A,2,silt,firm,4.5,,firm to stiff lake silts (Taupo alluvium),,,,,,,
220A,3,sand/silt,stiff,250,,Huka formation-effective bedrock in part,,,,,,,
221A,1,"silt, gravel",medium dense,7,5 to 10,,,,,,,,
221B,1,"silt, gravel",medium dense,7,5 to 10,,,,,,,,
222A,1,"dune sand, alluvium, swamp deposits",loose,30,?,soft / loose,,,,,,,
223A,1,"sand, gravel",loose,5,?,"loose - medium dense marine & dune sand, gravel (Rapanui Fm)",,,,,,,
223B,1,"sand, gravel",loose,2,<?,"loose - medium dense marine & dune sand, gravel (Rapanui Fm)",,,,,,,
224A,1,gravel & sand,loose,5,?,Taupo Alluvium (pumice gravel & sand),,,,,,,
225A,1,slit/ clay,firm,10,,soft - stiff fluvial ,,,,,,,"130 - 185, 1-10m"
225A,2,clay,stiff,15,,"soft-stiff esturaine clay, with wood & vegetation",,,,,,138,10-21
225A,3,silt & gravel,,75,,fluvial ,,,,,,247,21-28
225B,1,slit/ clay,firm,10,,soft - stiff fluvial ,,,,,,,"130 - 185, 1-10m"
225B,2,clay,stiff,15,,"soft-stiff esturaine clay, with wood & vegetation",,,,,,138,10-21
225B,3,silt & gravel,,75,,fluvial ,,,,,,247,21-28
226B,1,sand,loose,5,?,,,,,,1 to 6,,
226B,2,"sands,silt,clay",soft,5,,"soft/ loose recent alluvial sands, silt, clay",,,,,4 to 9,,
226B,3,gravel - sands,medium dense,7,5-10 ?,medium dense to loose fluvial volcaniclastic sediments,,,,30,>,,
226B,4,sandy gravel,dense,100,?,"medium dense-very dense sandy gravel, Lahar deposits",,,,,,,
228A,1,silty/sand,soft,3,?,topsoil/ volcanic ash,,,,,,,
228A,2,gravel with sand,dense ,100,c?,agglomerate (Lahar deposits),,,,,,,
229A,1,gravel,loose,10,?,loose to medium dense beach ridge gravel,,,,,,,
229A,2,sand / silty clay,firm,10,?,soft to firm marine sand / mud,,,,,,,
229A,3,gravel,,,,alluvial gravel / sand (if present),,,,,,,
230A,1,"sand, peat, gravel",medium dense,12,<," soft or loose/ medium dense dune and marine (Rapanui Fm)",,,,,,,
231A,1,"sand, silt, gravel",dense,2,,terrace alluvium,,,,,,,
232A,1,"sand, peat, gravel",loose,12,<,"soft /loose to medium dense dune and marine sand, peat, gravel (Rapanui Fm)",,,,,,,
234A,1,sand,medium dense,12,,loose-medium dense,,,,,27-60,,
234A,2,silt,firm,3,,soft-firm,,,,,14-43,,
234A,3,silty sand,dense,5,,,,,,,25-43,,
234A,4,silt,firm,5,,soft-stiff,,,,,17-50,,
234A,5,sand,dense,4,,,,,,,,,
234A,6,gravel,dense,6,,,,,,,,,
235A,1,sand/ gravel,medium dense,10,,Greywacke,,,,,,,
236A,1,gravel,medium dense,25,20 to 30,loose to dense (Woodville Alluvium),,,,,,,
236B,1,gravel,medium dense,15,10 to 20,loose to dense (Woodville Alluvium),,,,,,,
237A,1,gravel,dense,15,,medium dense-very dense gravel with minor clay & peat layers,,,,,15 - 50,,
237A,2,"sand, clay, peat with wood & gravel",medium dense,15,,stiff/ very dense,,,,,,,
237A,3,gravel,very dense,5,,,,,,,,,
237A,4,"sand, clay, peat with wood & gravel",stiff,15,,,,,,,,,
237A,5,gravel & clay,dense,10,,stiff / very dense,,,,,,,
237A,6,"gravel, sand, silt, clay, peat, shells",very dense,90,>,,,,,,,,
238A,1,gravelly silt,dense,10,?,,,,,,,,
238A,2,clay,stiff,10,?,lake sediments,,,,,,,
238A,3,sand /silt/ gravel,dense,30,?,alluvium,,,,,,,
239A,1,gravels & silts,medium dense,60,50 - 70,loose/soft to dense/stiff Woodville alluvium (alluvial gravels & lacustrine silts),,,,,,,
240A,1,gravel,dense,300,,weathered Pleistocene terrace gravels,,,,,,,
240A,2,`,,,,,,,,,,,
242A,1,sand over silty gravels. ,medium dense,40,?,loose to dense peaty beach (dune) sand over silty gravels.,,,,,,,"15 - 200, top 15m"
242A,2,"gravel, sand",dense,110,?,Pleistocene alluvium & marine beds,,,,,,,
243A,1,sand,dense,2,?,,,,,,,,
243B,1,sand,loose,10,< 10?,dune and beach sand,,,,,,,
244A,1,gravel & sand,medium dense,50,>,loose to dense post-glacial fluvial gravel & sand,,,,,,,
244A,2,gravel,very dense,50,>,glacial & inter-glacial outwash gravel,,,,,,,
245A,1,sand,very loose,5,?,dune sand,,,,,,,
245A,2,sand-silt/ gravel,medium dense,15,?,medium dense to dense alluvium,,,,,,,
246A,1,sand,very loose,5,?,dune sand,,,,,,,
246A,2,sand-silt/ gravel,medium dense,45,?,medium dense to dense alluvium,,,,,,,
248A,1,silt/ gravel,medium dense,45,,loose-medium dense Holocene fluviatile floodplain alluvium,,,,,,,
248A,2,"gravel, sand, silt",dense,400,,"Pleistocene high terrace gravel, sand, silt (effective bedrock?)",,,,,,,
248A,3,"sand, silt & limestone",dense,400,,"marine sand, silt & limestone",,,,,,,
248A,4,sandy mudstones,hard,760,,marine calcareous sandy mudstones,,,,,,,
249A,1,silty sand,soft,3,,loose to firm,,,,,,,
249A,2,silt & sand with shells,loose,7,," very dilatant sand with shells, silt with shells",,,,,,,
249A,3,"sand, gravel",medium dense,10,c,"medium dense-dense sand, gravel, wood fragments (Hutt Alluvium)",,,,,,,
249B,1,silty sand,soft,3,,loose to firm,,,,,,,
249B,2,silt & sand with shells,loose,7,," very dilatant sand with shells, silt with shells",,,,,,,
249B,3,"sand, gravel",medium dense,10,c,"medium dense-dense sand, gravel, wood fragments (Hutt Alluvium)",,,,,,,
250A,1,"soil, sand ",soft,3,,loose to firm,,,,,,,
250A,2,silt & sand with shells,loose,7,," very dilatant sand with shells, silt with shells",,,,,,,
250A,3,"sand, gravel",medium dense,10,c,"medium dense-dense sand, gravel, wood fragments (Hutt Alluvium)",,,,,,,
251A,1,clayey gravel fill,medium dense,3.5,,,,,,,,,
252A,1,sand/ gravel/ silt,medium dense,5,?,colluvium  (Lower Quaternary),,,,,,,
253A,1,sand with pumice gravel & peat ,loose,15,,(Hinuera Fm),,,,,,,
253A,2,"ash over silt, sand, gravel ",dense,120,c. 6m of ash,medium dense to very dense (Walton Sequence),,,,,,,
253A,3,,dense,275,,older sediments (Frankton SG),,,,,,,
254A,1,silt & clay,soft,5,,,,,,,,,
254A,2,gravel & sand,medium dense,15,,loose to medium dense,,,,,,,
254A,3,"fine gravel, sand, silt, clay & shells",dense,30,,,,,,,,,
254A,4,"gravel, sand & clay",very dense,30,,,,,,,,,
254A,5,gravel,very dense,120,,,,,,,,,
255A,1,"sand, gravel",dense,7,5 to 10,loose - top 2m,,,,,,,
256A,1,"gravel, silt",medium dense,20,?,"loose-dense little-weathered till, glacial outwash gravel (Speargrass Fm)",,,,,,,
257A,1,sand/silt-gravel,medium dense,50,?,loose/soft to medium dense alluvium/ swamp/ sand,,,,,,,
257A,2,gravel,very dense,250,?,Moutere gravel,,,,,,,
257A,3,mudstone,hard,300,?,Tertiary mudstone - effective bedrock,,,,,,,
259A,1,gravel / sand / clay / silt,soft,3.1,,soft / loose,,,,,,,
259A,2,sandy clay & gravel,firm,2.7,,,,,,,,,
259A,3,silty clay & gravel,soft,1.8,,,,,,,,,
259A,4,sandy clay & gravel,medium dense,4,,,,,,,,,
259A,5,sandy clay & gravel & boulders,dense,40,,stiff / dense,,,,,,,
260A,1,swamp / alluvial,loose,7,,soft / loose to medium dense,,,,,,,
260A,2,marine sands,medium dense,6,,,,,,,,,
260A,3,sand / gravel,medium dense ,24,,fluvial sand / gravel,,,,,,,
260A,4,"gravel, sand, silt",dense,26,,"glacial outwash gravel, sand, silt",,,,,,,
260A,5," gravel",very dense,300,?,Wairau (interglacial),,,,,,,
260A,6,,very dense,700,,Wairau conglomerate,,,,,,,
261A,1,topsoil over sands & silts,dense,300,2m topsoil?,(Castlecliffian),,,,,,,
262A,1,"gravel, sand & silt",medium dense,20,?,alluvial gravel,,,,,,,
263A,1,clay,soft,2,?,,,,,,,,
263A,2,clay/ gravel ,medium dense,18,?,soft-stiff/ medium dense clay gravel alluvium,,,,,,,
264A,1,silt ,soft,2,?,loess,,,,,,,
264A,2," gravel ",medium dense,40,?,(Tophouse Formation),,,,,,,
264A,3,claybound gravel ,dense,200,?,Moutere gravel (claybound)-(effective bedrock),,,,,,,
265A,1,gravel & sand,medium dense,10,,loose to dense glacial outwash gravel & sand,,,,,,,
265A,2,"silt, sand & gravel",dense,80,,"firm/ dense glacial lake silt, sand & gravel",,,,,,,
265A,3,gravel,dense,160,,glacial outwash gravel,,,,,,,
265B,1,gravel & sand,medium dense,10,,loose to dense glacial outwash gravel & sand,,,,,,,
265B,2,"silt, sand & gravel",dense,80,,"firm/ dense glacial lake silt, sand & gravel",,,,,,,
265B,3,gravel,dense,160,,glacial outwash gravel,,,,,,,
266A,1,silt/clay & peat,soft,5,3-6,,,,,,,,
266A,2,gravel & sand,dense,100,>,dense to very dense river gravel & sand,,,,,,,
266B,1,silt/clay & peat,soft,5,3-6,,,,,,,,
266B,2,gravel & sand,dense,100,>,dense to very dense river gravel & sand,,,,,,,
267A,1,gravel & sand,medium dense,30,,Glacial outwash gravel,,,,,,,
267B,1,gravel & sand,medium dense,20,,Glacial outwash gravel,,,,,,,
268A,1,sandy gravel,medium dense,40,?,alluvial loose- dense,,,,,,,
270A,1,sand /gravel,loose,10,<,alluvium (beach deposits),,,,,,,
270B,1,,,0,,,,,,,,,
271A,1,silty topsoil sand & gravel,loose,10,," loose/ soft alluvium Holocene",,,,,10 to 30,,
271A,2,alluvium,medium dense,35,,dense with soft/ loose layers,,,,70,(10 in soft layers),,
271A,3,"gravel, sand",dense,12,,alluvium,,,,,75 - 150,,
272A,1,sand & silt,medium dense,3,," medium dense/ firm estuarine sand & silt",,,,,,,
272A,2," gravel",medium dense,50,>,fluvial,,,,,,,
272A,3,gravel,dense,30,,"cemented ""old man"" ",,,,,,,
272B,1,sand & silt,medium dense,3,," medium dense/ firm estuarine sand & silt",,,,,,,
272B,2," gravel",medium dense,50,>,fluvial,,,,,,,
272B,3,gravel,dense,30,,"cemented ""old man"" ",,,,,,,
272C,1,sand & silt,medium dense,3,," medium dense/ firm estuarine sand & silt",,,,,,,
272C,2," gravel",medium dense,50,>,fluvial,,,,,,,
272C,3,gravel,dense,30,,"cemented ""old man"" ",,,,,,,
273A,1,sand & gravel,loose,13,," loose to medium dense alluvial sand & gravel",,,,,,,
273A,2,marine/ lagoonal sand & silt,soft,15,,soft / loose,,,,,,,
273A,3,gravel,dense,10,,glacial outwash,,,,,,,
273A,4,"peat, silt, sand",stiff ,18,,"stiff - firm marine/ lagoonal swamp, peat, silt, sand",,,,,,,
273A,5,gravel,dense,350,,glacial outwash,,,,,,,
273A,6,mudstone ,hard,400,,Tertiary (effective bedrock),,,,,,,
274A,1,gravel & sand ,dense,4,,dense - firm fluvial gravel & sand(Springston Fm),,,,,,,
274A,2,fluvial sand /silt /wood ,firm ,5,,(Springston Fm),,,,,,,
274A,3,gravel & sand ,,5,,fluvial gravel & sand (Springston Fm) ,,,,,,,
274A,4,silt / peat ,,3,,fluvial silt / peat/ wood (Springston Fm),,,,,,,
274A,5,gravel ,,10,," glacial outwash gravel (Riccarton Fm)",,,,,,,
274A,6,sand / silt / wood ,stiff,5,,fluvial sand / silt / wood (Bromley Fm),,,,,,,
274A,7," gravels ",dense,950,,Tertiary rocks - effective bedrock,,,,,,,
275A,1,gravel & sand ,dense,20,,post-glacial alluvium,,,,,,,
275A,2," gravel",dense,500,,glacial outwash,,,,,,,
275A,3,tertiary mudstone ?,,700,,effective bedrock,,,,,,,
276A,1,clay,firm,8,,soft - firm,,,,,,,
276A,2,gravel & clay and gravel,medium dense,7,,medium dense /stiff,,,,,,,
277A,1,silty loess ,soft,2,?,,,,,,,,
277A,2,gravel,medium dense,8,?,loose to medium dense Holocene alluvial gravel,,,,,,,
277A,3,gravel / sand / silt,dense,500,,dense to very dense recent glacial outwash gravel / sand / silt,,,,,,,
278A,1,"gravel, sand",medium dense,100,?," loose to dense alluvium, fan gravel, etc",,,,,,,
279A,1,"gravel, sand",loose,30,,avalanche debris,,,,,,,
279A,2,gravel,medium dense,300,,loose to dense fan and outwash gravel,,,,,,,
280A,1,silty loess,soft,3,?,topsoil/ loess,,,,,,,
280A,2,gravel ,dense,97,?,medium dense to dense outwash gravel (last glacial and earlier),,,,,,,
281A,1,silt/clay,soft,10,?,loess,,,,,,,
281A,2,basalt,hard,12,6 - 23,Timaru basalt,,,,,,,
281A,3,sandy silty gravel ,very dense,900,,(Pliocene),,,,,,,
283A,1,gravel,medium dense,5,?,lake beach gravel,,,,,,,
283A,2,gravel,dense,40,?,glacial outwash gravel,,,,,,,
283B,1,gravel,medium dense,5,?,lake beach gravel,,,,,,,
283B,2,gravel,dense,40,?,glacial outwash gravel,,,,,,,
284A,1,sandy silt,soft,3,,soft/ firm topsoil/ loess,,,,,,,
284A,2,sand,medium dense,27,,medium dense - dense Pleistocene ,,,,,,,
284B,1,sandy silt,soft,3,,soft/ firm topsoil/ loess,,,,,,,
284B,2,sand,medium dense,27,,medium dense - dense Pleistocene ,,,,,,,
285A,1,sandy gravel,medium dense,30,,loose-medium dense post glacial sandy alluvium,,,,,20-60,,
285A,2,gravel,dense,170,,"dense-very dense moraine, till, outwash gravel",,,,,,100,>?
286A,1,sandy gravel,medium dense,30,,loose-medium dense post glacial sandy alluvium,,,,,20-60,,
286A,2,gravel,dense,170,,"dense-very dense moraine, till, outwash gravel",,,,,,100,>?
287A,1,silt/ gravel,medium dense,5,?,loose/ dense alluvium,,,,,,,
288A,1,sandy gravel,dense,40,?,loose-very dense glacial outwash gravel,,,,,,,
289A,1,gravel,dense,40,?,loose-very dense glacial outwash gravel,,,,,,,
289B,1,gravel,dense,40,?,loose-very dense glacial outwash gravel,,,,,,,
290A,1,"layered silt, clay & gravel",medium dense,7,?,loose to dense,,,,,,,
291A,1,sand /silt & clay,firm,10,,,,,,,,,
291A,2,sand,dense,10,,,,,,,,,
291A,3,gravel ,medium dense,45,,,,,,,,,
292A,1,sand / silt,loose,2,,loose / soft,,,,,,75,2-4.5m
292A,2,gravel,loose,3,,,,,,,,110,4.5-6m
292A,3,silt / clay,firm,15,,soft to firm,,,,,,90,6-12.5m
292A,4,sand,medium dense,5,,,,,,,,125,12.5 - 18m
292A,5,,,,,,,,,,,240,18-20.5m
293A,1,"alluvium, estuarine deposits (sand, silt & gravel)",medium dense,50,?,"loose to 5m, medium dense 5-20m, dense 20-50m",,,,,,,
293B,1,"alluvium, estuarine deposits (sand, silt & gravel)",medium dense,50,?,"loose to 5m, medium dense 5-20m, dense 20-50m",,,,,,,
294A,1,silts over gravels,medium dense,50,?,medium dense -dense recent alluvium over glacial outwash,,,,,,,
294B,1,silts over gravels,medium dense,50,?,medium dense -dense recent alluvium over glacial outwash,,,,,,,
295A,1,silty topsoil over sandy gravel,medium dense,20,2m topsoil?," soft/ dense (Pleistocene alluvium)",,,,,,,
296A,1,sand,loose,10,?,dune & beach,,,,,,,
296A,2,silts & clays,soft,30,?,swamp / marine & esturine deposits,,,,,,,
296A,3,gravel,dense,60,?,alluvium / outwash gravel,,,,,,,
297A,1,silty loess over sand & gravel,loose,5,?,alluvium / topsoil,,,,,,,
297A,2,gravel,dense,35,,Pleistocene outwash gravel/piedmont gravel,,,,,,,
297A,3,gravel,very dense ,100,,Pliocene piedmont (may be equivalent bedrock),,,,,,,
297B,1,silty loess over sand & gravel,loose,5,?,alluvium / topsoil,,,,,,,
297B,2,gravel,dense,35,,Pleistocene outwash gravel/piedmont gravel,,,,,,,
297B,3,gravel,very dense ,100,,Pliocene piedmont (may be equivalent bedrock),,,,,,,
299A,1,gravel,dense,100,?,"mainly dense to very dense alluvium/ glacial outwash, moraine",,,,,,,
301A,1,gravel,dense,15,,medium dense-very dense gravel with minor clay & peat layers,,,,,15 - 50,,
301A,2,"sand, clay, peat with wood & gravel",medium dense,15,,stiff/ very dense,,,,,,,
301A,3,gravel,very dense,5,,,,,,,,,
301A,4,"sand, clay, peat with wood & gravel",stiff,15,,,,,,,,,
301A,5,gravel & clay,dense,10,,stiff / very dense,,,,,,,
301A,6,"gravel, sand, silt, clay, peat, shells",very dense,90,>,,,,,,,,
302A,1,sand,medium dense,12,,loose-medium dense,,,,,27-60,,
302A,2,silt,firm,3,,soft-firm,,,,,14-43,,
302A,3,silty sand,dense,5,,,,,,,25-43,,
302A,4,silt,firm,5,,soft-stiff,,,,,17-50,,
302A,5,sand,dense,4,,,,,,,,,
302A,6,gravel,dense,6,,,,,,,,,
303A,1,,soft,5,,,,,,,2 to 6,,
303A,2,gravelly sandy clayey silt,,10,?,,,,,,10 to 50,,
303A,3,silty sandy gravel,very dense,30,,,,,,50,>,,
304A,1,"sand, silt, swamp deposits",loose,,?,loose / very soft,,,,,,,
304A,2,alluvium,medium dense,200,>,loose to dense,,,,,,,
305A,1,loess,soft,3,?,,,,,,,,
305A,2," gravel",dense,40,?,medium dense to very dense outwash,,,,,,,
305A,3,siltstone ,hard ,960,?,stiff to hard,,,,,,,
306A,1,sand,medium dense,12,,loose-medium dense,,,,,27-60,,
306A,2,silt,firm,3,,soft-firm,,,,,14-43,,
306A,3,silty sand,dense,5,,,,,,,25-43,,
306A,4,silt,firm,5,,soft-stiff,,,,,17-50,,
306A,5,sand,dense,4,,,,,,,,,
306A,6,gravel,dense,6,,,,,,,,,
340A,1,clay bound gravel,stiff,20,,,,,,,,,
340A,2,sand & clay with some gravel,stiff ,25,,stiff / dense,,,,,,,
340A,3,"gravel, sand & clay",medium dense,30,,,,,,,,,
340A,4,"sand, clay & peat",dense,15,,,,,,,,,
464A,1,"clay, gravel, sand ",firm,10,,"clay, gravel, sand (Hutt alluvium)",,,,,,,
464A,2,silty clay ,soft,10,,soft to stiff blue silty clay (Petone marine),,,,,,,
464A,3,gravel,dense,30,,Waiwhetu gravel,,,,,,,
464A,4,sands/silts,stiff,17,15-20,Wilford marine,,,,,,,
464A,5,gravel,very dense,100,c,Moera basal gravel,,,,,,,
465A,1,"swamp, silt ",soft,10,?,soft/ loose swamp silt / alluvium,,,,,,,
465A,2,gravel,dense,40,?,alluvial gravel,,,,,,,
467A,1,fill/ clay/sand ,medium dense,4,,clay/sand / gravel reclamation,,,,,,,
467A,2,silty sand / sandy silt,soft,16,,soft / loose,,,,,,,
467A,3,gravel / sand / silt / clay,dense,130,,stiff / dense,,,,,,,
468A,1,sandy silt,firm,2,,,,,,,,,
468A,2,sandy silt/ clayey silt/ gravel ,soft,10,?,soft/ loose swamp silt / alluvium,,,,,,,
468A,3,gravel,dense,40,?,alluvial gravel,,,,,,,
469A,1,"clay, gravel, sand ",firm,10,,"firm to stiff clay,medium dense gravel, sand (Hutt alluvium)",,,,,,,
469A,2,gravel,medium dense,40,,medium dense-dense artesian gravels (Waiwhetu gravel),,,,,,,
469A,3,gravel,dense,230,,dense to very dense? Moera basal gravels,,,,,,,
501A,1,silt with wood ,soft,3,,fluvial silt with wood (Springston Fm),,,,,,,
501A,2,gravel & sand,medium dense,9,,loose to medium dense fluvial gravel & sand (Springston Fm),,,,,,,
501A,3,"sand, silt",dense,15,,"marine /lagoonal sand, silt (Christchurch Fm)",,,,,,,
501A,4,gravel,dense,10,,glacial outwash gravel (Riccarton Fm),,,,,,,
501A,5,"peat, silt, sand ",firm,18,,"soft to stiff/ dense marine/ lagoonal/ swamp peat, silt, sand (Bromley Fm)",,,,,,,
501A,6,gravel ,very dense,20,,glacial outwash (Linwood gravel),,,,,,,
501A,7,gravels,very dense,700,,Tertiary rocks - effective bedrock,,,,,,,
502A,1,gravel & sand ,loose,4,,fluvial gravel & sand (Springston Fm),,,,,,,
502A,2,fluvial sand / silt / wood ,medium dense,5,,(Springston Fm),,,,,,,
502A,3,gravel & sand ,,5,,fluvial gravel & sand (Springston Fm) ,,,,,,,
502A,4,silt / peat ,firm,3,,fluvial silt / peat/ wood (Springston Fm),,,,,,,
502A,5,gravel ,dense,10,," glacial outwash gravel (Riccarton Fm)",,,,,,,
502A,6,sand / silt / wood ,firm,5,,soft-firm fluvial sand/ silt /wood (Bromley Fm),,,,,,,
502A,7," gravels ",dense,950,,Tertiary rocks - effective bedrock,,,,,,,
503A,1,silt with wood ,firm ,4,,fluvial silt with wood (Springston Fm),,,,,,,
503A,2,fluvial gravel & sand ,dense ,5,,(Springston Fm),,,,,,,
503A,3,"sand, silt",medium dense,15,,"marine /lagoonal sand, silt (Christchurch Fm)",,,,,,,
503A,4,gravel ,,10,,glacial outwash gravel (Riccarton Fm),,,,,,,
503A,5,"peat, silt, sand ",medium dense,18,,"marine / lagoonal / swamp peat, silt, sand (Bromley Fm)",,,,,,,
503A,6,gravel,medium dense,20,,glacial outwash (Linwood gravel),,,,,,,
503A,7," gravels ",dense,700,,Tertiary rocks - effective bedrock,,,,,,,
504A,1,silts over gravels,medium dense,50,?,medium dense -dense recent alluvium over glacial outwash,,,,,,,
505A,1,coarse angular gravel & boulders,medium dense,50,,"loose to dense coarse angular fan gravel, bouldery debris",,,,,,,
506A,1,"topsoil, loess",soft,2,,soft / loose,,,,,,,
506B,1,"topsoil, loess",soft,2,,soft / loose,,,,,,,
507A,1,sandy silt,soft,3,,soft/ firm topsoil/ loess,,,,,,,
507A,2,sand,medium dense,27,,medium dense - dense Pleistocene ,,,,,,,
508A,1,peaty / sandy topsoil,soft,0.6,,,,,,,,,
508A,2,silt,firm,1.4,,firm to stiff lake sediments,,,,,,,
508A,3,sandy gravel,medium dense,18,,loose to medium dense sandy gravel alluvium,,,,,,,
601A,1,gravelly sand/ silty clay ,loose,10,,"gravelly sand with shells, also silty clay (Hutt alluvium)",,,,,,,
601A,2,silty clay ,stiff,10,5 to 15,soft to stiff blue (Petone marine),,,,,,,
601A,3,gravel,dense,60,,Waiwhetu ,,,,,,,
601A,4,sands/silts,stiff,20,,Wilford marine,,,,,,,
601A,5,gravel,very dense,200,,Moera basal gravel,,,,,,,
602A,1,,,0,,,,,,,,,
602B,1,,,0,,,,,,,,,
602C,1,,,0,,,,,,,,,
603A,1,,,0,,,,,,,,,
603B,1,,,0,,,,,,,,,
604A,1,"clay, gravel, sand ",firm,10,,"firm to stiff clay,medium dense gravel, sand (Hutt alluvium)",,,,,,,
604A,2,silty clay ,firm,10,,soft to stiff blue silty clay (Petone marine),,,,,,,
604A,3,gravel,dense,30,,Waiwhetu gravel,,,,,,,
604A,4,sands/silts,stiff,17,15-20,Wilford marine,,,,,,,
604A,5,gravel,very dense,100,c,Moera basal gravel,,,,,,,
605A,1,,,0,,,,,,,,,
605B,1,,,0,,,,,,,,,
606A,1,,,0,,,,,,,,,
606B,1,,,0,,,,,,,,,
607A,1,gravelly sand/ silty clay ,loose,10,,"loose, soft gravelly sand with shells, also silty clay (Hutt alluvium)",,,,,,,
607A,2,silty clay ,soft,10,10 to 15,soft to firm blue (Petone marine),,,,,,,
607A,3,gravel,dense,50,,Waiwhetu ,,,,,,,
607A,4,sands/silts,stiff,20,,Wilford marine,,,,,,,
607A,5,gravel,very dense,200,,Moera basal gravel,,,,,,,
608A,1,gravelly sand/ silty clay ,loose,10,,"loose, soft gravelly sand with shells, also silty clay (Hutt alluvium)",,,,,,,
608A,2,silty clay ,soft,10,10 to 15,soft to firm blue (Petone marine),,,,,,,
608A,3,gravel,dense,50,,Waiwhetu ,,,,,,,
608A,4,sands/silts,stiff,20,,Wilford marine,,,,,,,
608A,5,gravel,dense,160,,Moera basal gravel,,,,,,,
608B,1,gravelly sand/ silty clay ,loose,10,,"loose, soft gravelly sand with shells, also silty clay (Hutt alluvium)",,,,,,,
608B,2,silty clay ,soft,10,10 to 15,soft to firm blue (Petone marine),,,,,,,
608B,3,gravel,dense,50,,Waiwhetu ,,,,,,,
608B,4,sands/silts,stiff,20,,Wilford marine,,,,,,,
608B,5,gravel,dense,160,,Moera basal gravel,,,,,,,
640A,1,sand/ silt,loose,20,,soft/ loose beach deposits and estuarine silts,,,,,"4 - 25, av 10",,c 100
640A,2,alluvium (gravel?),medium dense,5,,,,,,,,200,about
640B,1,sand/ silt,loose,20,,soft/ loose beach deposits and estuarine silts,,,,,"4 - 25, av 10",,c 100
640B,2,alluvium (gravel?),medium dense,5,,,,,,,,200,about
641A,1,"soil, sand",loose,1.5,,soft/ loose beach deposits and estuarine silts,,,,,,,
641A,2,sand and gravel,loose ,6,,loose to medium dense beach sand and gravel,,,,,,,
641A,3,silt,soft,3,,marine silt,,,,,,,
641A,4,gravel/ sand,medium dense,1.5,,beach gravel etc,,,,,,,
642A,1,silty sand,soft,3,,loose to firm,,,,,,,
642A,2,silt & sand with shells,loose,7,," very dilatant sand with shells, silt with shells",,,,,,,
642A,3,"sand, gravel",medium dense,10,c,"medium dense-dense sand, gravel, wood fragments (Hutt Alluvium)",,,,,,,
642B,1,silty sand,soft,3,,loose to firm,,,,,,,
642B,2,silt & sand with shells,loose,7,," very dilatant sand with shells, silt with shells",,,,,,,
642B,3,"sand, gravel",medium dense,10,c,"medium dense-dense sand, gravel, wood fragments (Hutt Alluvium)",,,,,,,
642C,1,silty sand,soft,3,,loose to firm,,,,,,,
642C,2,silt & sand with shells,loose,7,," very dilatant sand with shells, silt with shells",,,,,,,
642C,3,"sand, gravel",medium dense,10,c,"medium dense-dense sand, gravel, wood fragments (Hutt Alluvium)",,,,,,,
642E,1,silty sand,soft,3,,loose to firm,,,,,,,
642E,2,silt & sand with shells,loose,7,," very dilatant sand with shells, silt with shells",,,,,,,
642E,3,"sand, gravel",medium dense,10,c,"medium dense-dense sand, gravel, wood fragments (Hutt Alluvium)",,,,,,,
642F,1,silty sand,soft,3,,loose to firm,,,,,,,
642F,2,silt & sand with shells,loose,7,," very dilatant sand with shells, silt with shells",,,,,,,
642F,3,"sand, gravel",medium dense,10,c,"medium dense-dense sand, gravel, wood fragments (Hutt Alluvium)",,,,,,,
642G,1,"soil, sand ",soft,3,,loose to firm,,,,,,,
642G,2,silt & sand with shells,loose,7,," very dilatant sand with shells, silt with shells",,,,,,,
642G,3,"sand, gravel",medium dense,10,c,"medium dense-dense sand, gravel, wood fragments (Hutt Alluvium)",,,,,,,
642H,1,"soil, sand etc",loose,3,,,,,,,,,
642H,2,"sand with shells, silt with shells",loose ,7,,very dilatant,,,,,,,
642H,3,"sand, gravel, wood fragments (Hutt Alluvium)",medium dense,10,c,,,,,,,,
642T,1,silty sand,soft,3,,loose to firm,,,,,,,
642T,2,silt & sand with shells,loose,7,," very dilatant sand with shells, silt with shells",,,,,,,
642T,3,"sand, gravel",medium dense,10,c,"medium dense-dense sand, gravel, wood fragments (Hutt Alluvium)",,,,,,,
642V,1,silty sand,soft,3,,loose to firm,,,,,,,
