Make,Model,Serial Number,Asset Number,Notes
IESE,IESE HS-1-LT Mini 4.5Hz,198,,
IESE,IESE HS-1-LT Mini 4.5Hz,200,,
IESE,IESE HS-1-LT Mini 4.5Hz,208,,
IESE,IESE S10g-4.5 (with preamp),99999-MRP-NS12,,
IESE,IESE S10g-4.5 (with preamp),99999-MRP-NS13,,Pre-amped removed
IESE,IESE S10g-4.5 (without preamp),99999-MRP-NS13,,
IESE,IESE S31f-15 (with preamp),99999-MRP-NS14,,
Kinemetrics,FBA-23,25073,,
Kinemetrics,FBA-23,45577,,
Kinemetrics,FBA-23,WEL_WLN,,
Kinemetrics,FBA-ES-T,1000,9027,
Kinemetrics,FBA-ES-T,1001,9038,
Kinemetrics,FBA-ES-T,1002,9039,
Kinemetrics,FBA-ES-T,1003,9020,
Kinemetrics,FBA-ES-T,1004,9037,
Kinemetrics,FBA-ES-T,1432,9315,
Kinemetrics,FBA-ES-T,1433,9321,
Kinemetrics,FBA-ES-T,1434,9313,
Kinemetrics,FBA-ES-T,1435,9316,
Kinemetrics,FBA-ES-T,1436,9319,
Kinemetrics,FBA-ES-T,1437,9317,
Kinemetrics,FBA-ES-T,1438,9320,
Kinemetrics,FBA-ES-T,1439,9318,
Kinemetrics,FBA-ES-T,144,,Broken
Kinemetrics,FBA-ES-T,1440,9312,
Kinemetrics,FBA-ES-T,1441,9314,
Kinemetrics,FBA-ES-T,145,,
Kinemetrics,FBA-ES-T,164,,
Kinemetrics,FBA-ES-T,1754,9734,
Kinemetrics,FBA-ES-T,1755,9732,
Kinemetrics,FBA-ES-T,1756,9730,Water ingress leading to failure
Kinemetrics,FBA-ES-T,1757,9729,
Kinemetrics,FBA-ES-T,1758,9733,
Kinemetrics,FBA-ES-T,2260,10638,
Kinemetrics,FBA-ES-T,2261,10640,
Kinemetrics,FBA-ES-T,2262,10641,
Kinemetrics,FBA-ES-T,2263,10646,
Kinemetrics,FBA-ES-T,2264,10639,
Kinemetrics,FBA-ES-T,2265,10645,
Kinemetrics,FBA-ES-T,2266,10644,
Kinemetrics,FBA-ES-T,2267,10637,
Kinemetrics,FBA-ES-T,2268,10643,
Kinemetrics,FBA-ES-T,2269,10642,
Kinemetrics,FBA-ES-T,281,,
Kinemetrics,FBA-ES-T,587,,
Kinemetrics,FBA-ES-T,588,,
Kinemetrics,FBA-ES-T,985,9024,
Kinemetrics,FBA-ES-T,986,9042,
Kinemetrics,FBA-ES-T,987,9043,
Kinemetrics,FBA-ES-T,988,9034,burried in a cave
Kinemetrics,FBA-ES-T,989,9029,
Kinemetrics,FBA-ES-T,990,9025,
Kinemetrics,FBA-ES-T,991,9041,
Kinemetrics,FBA-ES-T,992,9036,
Kinemetrics,FBA-ES-T,993,9023,
Kinemetrics,FBA-ES-T,994,9026,
Kinemetrics,FBA-ES-T,995,9028,
Kinemetrics,FBA-ES-T,996,9035,
Kinemetrics,FBA-ES-T,997,9040,
Kinemetrics,FBA-ES-T,998,9021,
Kinemetrics,FBA-ES-T,999,9022,
Kinemetrics,FBA-ES-T-ISO,3494,13681,
Kinemetrics,FBA-ES-T-ISO,3495,13682,
Kinemetrics,FBA-ES-T-ISO,3496,13683,
Kinemetrics,FBA-ES-T-ISO,3497,13684,
Kinemetrics,FBA-ES-T-ISO,3498,13685,
Kinemetrics,Kinemetrics EpiSensor 2,185,,
Kinemetrics,Kinemetrics SBEPI,450,15077,
Kinemetrics,Kinemetrics SBEPI,451,15078,
Lennartz,LE-3Dlite,0987,,
Lennartz,LE-3Dlite,148,,
Lennartz,LE-3Dlite,190,,
Lennartz,LE-3Dlite,191,,
Lennartz,LE-3Dlite,195,,
Lennartz,LE-3Dlite,197,,
Lennartz,LE-3Dlite,200,,
Lennartz,LE-3Dlite,201,,
Lennartz,LE-3Dlite,203,,
Lennartz,LE-3Dlite,204,,
Lennartz,LE-3Dlite,210,,
Lennartz,LE-3Dlite,213,,
Lennartz,LE-3Dlite,S-0982,,
Lennartz,LE-3Dlite,S-0983,,
Lennartz,LE-3Dlite,S-0984,,
Lennartz,LE-3Dlite,S-0985,,
Lennartz,LE-3Dlite,S-0986,,
Lennartz,LE-3Dlite,S-0987,,
Lennartz,LE-3Dlite,S-0988,,
Lennartz,LE-3Dlite,S-0989,,
Lennartz,LE-3Dlite,S-0990,,
Lennartz,LE-3Dlite,S-0991,,
Lennartz,LE-3Dlite,S-0992,,
Lennartz,LE-3Dlite,S-0993,,
Lennartz,LE-3Dlite,S-0994,,
Lennartz,LE-3Dlite,S-0995,,
Lennartz,LE-3Dlite,S-0996,,
Lennartz,LE-3Dlite,S-0997,,
Lennartz,LE-3Dlite,S-0998,,
Lennartz,LE-3Dlite,S-0999,,
Lennartz,LE-3Dlite,S-1000,,
Lennartz,LE-3Dlite,S-1001,,
Lennartz,LE-3DliteMkII,F-0367,13039,
Lennartz,LE-3DliteMkII,F-0368,13040,
Lennartz,LE-3DliteMkII,F-0369,13053,
Lennartz,LE-3DliteMkII,F-0370,13052,
Lennartz,LE-3DliteMkII,F-0371,13042,
Lennartz,LE-3DliteMkII,F-0372,13041,
Lennartz,LE-3DliteMkII,F-0373,13051,
Lennartz,LE-3DliteMkII,F-0374,13050,
Lennartz,LE-3DliteMkII,F-0375,13049,
Lennartz,LE-3DliteMkII,F-0376,13045,
Lennartz,LE-3DliteMkII,F-0377,13044,
Lennartz,LE-3DliteMkII,F-0378,13043,
Lennartz,LE-3DliteMkII,F-0379,13046,
Lennartz,LE-3DliteMkII,F-0380,13047,
Lennartz,LE-3DliteMkII,F-0381,13048,
Lennartz,LE-3DliteMkII,G-0524,,
Lennartz,LE-3DliteMkII,G-0525,,
Lennartz,LE-3DliteMkII,I-0638,13563,
Lennartz,LE-3DliteMkII,I-0639,13562,
Lennartz,LE-3DliteMkII,I-0640,13564,
Lennartz,LE-3DliteMkII,I-0641,13570,
Lennartz,LE-3DliteMkII,I-0642,13569,
Lennartz,LE-3DliteMkII,I-0643,13568,
Lennartz,LE-3DliteMkII,I-0644,13567,
Lennartz,LE-3DliteMkII,I-0645,13566,
Lennartz,LE-3DliteMkII,I-0646,13565,
Lennartz,LE-3DliteMkII,I-0647,13573,
Lennartz,LE-3DliteMkII,I-0648,13572,
Lennartz,LE-3DliteMkII,I-0649,13571,
Lennartz,LE-3DliteMkII,I-0650,13576,
Lennartz,LE-3DliteMkII,I-0651,13575,
Lennartz,LE-3DliteMkII,I-0652,13574,
Lennartz,LE-3DliteMkII,L-1013,14232,
Lennartz,LE-3DliteMkII,L-1014,14230,
Lennartz,LE-3DliteMkII,L-1015,14231,
Lennartz,LE-3DliteMkII,L-1016,14228,
Lennartz,LE-3DliteMkII,L-1017,14229,
Lennartz,LE-3DliteMkII,L-1018,14236,
Lennartz,LE-3DliteMkII,L-1019,14237,
Lennartz,LE-3DliteMkII,L-1020,14234,
Lennartz,LE-3DliteMkII,L-1021,14235,
Lennartz,LE-3DliteMkII,L-1022,14233,
Lennartz,LE-3DliteMkII,M-1175,14745,
Lennartz,LE-3DliteMkII,M-1176,14746,
Lennartz,LE-3DliteMkII,M-1177,14747,
Lennartz,LE-3DliteMkII,M-1178,14748,
Lennartz,LE-3DliteMkII,M-1179,14749,
Lennartz,LE-3DliteMkII,N-1291,15064,
Lennartz,LE-3DliteMkII,N-1292,15065,
Lennartz,LE-3DliteMkII,N-1293,15066,
Lennartz,LE-3DliteMkII,N-1294,15067,
