Make,Model,Serial,Number,Notes
Canterbury Seismic Instruments,CUSP-Me,Me-12044,14044,
Canterbury Seismic Instruments,CUSP-Me,Me-12045,14045,
Canterbury Seismic Instruments,CUSP-Me,Me-12046,14046,
Canterbury Seismic Instruments,CUSP-Me,Me-12047,14047,
Canterbury Seismic Instruments,CUSP-Me,Me-12048,14048,
Canterbury Seismic Instruments,CUSP-Me,Me-12049,14049,
Canterbury Seismic Instruments,CUSP-Me,Me-12050,14050,
Canterbury Seismic Instruments,CUSP-Me,Me-12051,14862,
Canterbury Seismic Instruments,CUSP-Me,Me-12052,14357,
Canterbury Seismic Instruments,CUSP-Me,Me-12053,14358,
Canterbury Seismic Instruments,CUSP-Me,Me-12054,14863,
Canterbury Seismic Instruments,CUSP-Me,Me-12055,14864,
Canterbury Seismic Instruments,CUSP-Me,Me-12056,14359,
Canterbury Seismic Instruments,CUSP-Me,Me-12057,14360,
Canterbury Seismic Instruments,CUSP-Me,Me-12058,14361,
Canterbury Seismic Instruments,CUSP-Me,Me-12059,14362,
Canterbury Seismic Instruments,CUSP-Me,Me-12060,14363,
Canterbury Seismic Instruments,CUSP-Me,Me-12061,14364,
Canterbury Seismic Instruments,CUSP-Me,Me-12062,14365,
Canterbury Seismic Instruments,CUSP-Me,Me-12064,14876,
Canterbury Seismic Instruments,CUSP-Me,Me-12066,14366,
Canterbury Seismic Instruments,CUSP-Me,Me-12067,14367,
Canterbury Seismic Instruments,CUSP-Me,Me-12068,14865,
Canterbury Seismic Instruments,CUSP-Me,Me-12069,14368,
Canterbury Seismic Instruments,CUSP-Me,Me-12070,15153,
Canterbury Seismic Instruments,CUSP-Me,Me-12071,15154,
Canterbury Seismic Instruments,CUSP-Me,Me-12073,14369,
Canterbury Seismic Instruments,CUSP-Me,Me-12074,14370,
Canterbury Seismic Instruments,CUSP-Me,Me-12075,14371,
Canterbury Seismic Instruments,CUSP-Me,Me-12076,14866,
Canterbury Seismic Instruments,CUSP-Me,Me-12077,14372,
Canterbury Seismic Instruments,CUSP-Me,Me-12078,14867,
Canterbury Seismic Instruments,CUSP-Me,Me-12079,14373,
Canterbury Seismic Instruments,CUSP-Me,Me-12080,14877,
Canterbury Seismic Instruments,CUSP-Me,Me-12081,14868,
Canterbury Seismic Instruments,CUSP-Me,Me-12082,15155,
Canterbury Seismic Instruments,CUSP-Me,Me-12083,14869,
Canterbury Seismic Instruments,CUSP-Me,Me-12084,14374,
Canterbury Seismic Instruments,CUSP-Me,Me-12085,14375,
Canterbury Seismic Instruments,CUSP-Me,Me-12086,14376,
Canterbury Seismic Instruments,CUSP-Me,Me-12087,14388,
Canterbury Seismic Instruments,CUSP-Me,Me-12088,14389,
Canterbury Seismic Instruments,CUSP-Me,Me-12089,14870,
Canterbury Seismic Instruments,CUSP-Me,Me-12090,14878,
Canterbury Seismic Instruments,CUSP-Me,Me-12091,14390,
Canterbury Seismic Instruments,CUSP-Me,Me-12092,15156,
Canterbury Seismic Instruments,CUSP-Me,Me-12093,14391,
Canterbury Seismic Instruments,CUSP-Me,Me-12094,14392,
Canterbury Seismic Instruments,CUSP-Me,Me-12095,14393,
Canterbury Seismic Instruments,CUSP-Me,Me-12097,14394,
Canterbury Seismic Instruments,CUSP-Me,Me-12099,14871,
Canterbury Seismic Instruments,CUSP-Me,Me-12101,14395,
Canterbury Seismic Instruments,CUSP-Me,Me-12102,14396,
Canterbury Seismic Instruments,CUSP-Me,Me-12104,14879,
Canterbury Seismic Instruments,CUSP-Me,Me-12105,15157,
Canterbury Seismic Instruments,CUSP-Me,Me-12106,14872,
Canterbury Seismic Instruments,CUSP-Me,Me-12107,14397,
Canterbury Seismic Instruments,CUSP-Me,Me-12108,14398,
Canterbury Seismic Instruments,CUSP-Me,Me-12109,14399,
Canterbury Seismic Instruments,CUSP-Me,Me-12110,14880,
Canterbury Seismic Instruments,CUSP-Me,Me-12111,14400,
Canterbury Seismic Instruments,CUSP-Me,Me-12114,14873,
Canterbury Seismic Instruments,CUSP-Me,Me-12115,14874,
Canterbury Seismic Instruments,CUSP-Me,Me-20723,15981,
Canterbury Seismic Instruments,CUSP-Me,Me-20724,15982,
Canterbury Seismic Instruments,CUSP-Me,Me-20725,15983,
Canterbury Seismic Instruments,CUSP-Me,Me-20726,15984,
Canterbury Seismic Instruments,CUSP-Me,Me-20727,15985,
Canterbury Seismic Instruments,CUSP-Me,Me-20728,15986,
Canterbury Seismic Instruments,CUSP-Me,Me-20729,15987,
Canterbury Seismic Instruments,CUSP-Me,Me-20730,15988,
Canterbury Seismic Instruments,CUSP-Me,Me-20731,15989,
Canterbury Seismic Instruments,CUSP3A,200,9856x,Upgraded to 3C
Canterbury Seismic Instruments,CUSP3A,205,9852x,Upgraded to 3C
Canterbury Seismic Instruments,CUSP3A,206,x9855,
Canterbury Seismic Instruments,CUSP3A,208,9853x,Upgraded to 3C
Canterbury Seismic Instruments,CUSP3A,210,9851x,Upgraded to 3D
Canterbury Seismic Instruments,CUSP3A,211,9857x,Upgraded to 3D
Canterbury Seismic Instruments,CUSP3A,212,9858x,Upgraded to 3C
Canterbury Seismic Instruments,CUSP3A,213,9959x,Upgraded to 3C
Canterbury Seismic Instruments,CUSP3A,214,9869x,Upgraded to 3C
Canterbury Seismic Instruments,CUSP3A,215,x9854,
Canterbury Seismic Instruments,CUSP3A,216,9859x,Upgraded to 3D
Canterbury Seismic Instruments,CUSP3A,217,x9965,
Canterbury Seismic Instruments,CUSP3A,218,9956x,Upgraded to 3C
Canterbury Seismic Instruments,CUSP3A,220,x9961,
Canterbury Seismic Instruments,CUSP3A,221,9958x,Upgraded to 3D
Canterbury Seismic Instruments,CUSP3A,222,9963x,Upgraded to 3C
Canterbury Seismic Instruments,CUSP3A,225,9964,
Canterbury Seismic Instruments,CUSP3A,226,,
Canterbury Seismic Instruments,CUSP3A,227,9960x,Upgraded to 3D
Canterbury Seismic Instruments,CUSP3A,99999,9957x,Upgraded to 3D
Canterbury Seismic Instruments,CUSP3A,999992,9962,
Canterbury Seismic Instruments,CUSP3B,302,10330x,Upgraded to 3C
Canterbury Seismic Instruments,CUSP3B,303,,
Canterbury Seismic Instruments,CUSP3B,303x,10317x,Upgraded to 3C
Canterbury Seismic Instruments,CUSP3B,306,10316x,Upgraded to 3D
Canterbury Seismic Instruments,CUSP3B,307,10322x,Upgraded to 3D
Canterbury Seismic Instruments,CUSP3B,309,10324x,Upgraded to 3C
Canterbury Seismic Instruments,CUSP3B,311,10307x,Upgraded to 3C
Canterbury Seismic Instruments,CUSP3B,312,10323x,Upgraded to 3C
Canterbury Seismic Instruments,CUSP3B,313,x10309,
Canterbury Seismic Instruments,CUSP3B,314,10308x,Upgraded to 3C
Canterbury Seismic Instruments,CUSP3B,315,10311x,Upgraded to 3C
Canterbury Seismic Instruments,CUSP3B,316,10310x,Upgraded to 3D
Canterbury Seismic Instruments,CUSP3B,317,x10320,
Canterbury Seismic Instruments,CUSP3B,318,x10318,
Canterbury Seismic Instruments,CUSP3B,319,10328x,Upgraded to 3C
Canterbury Seismic Instruments,CUSP3B,320,10329x,Upgraded to 3C
Canterbury Seismic Instruments,CUSP3B,323,x10325,
